GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PartOne,aserdyuchenko,RotationMatrix,0,109,0,4,0,9,0,4,0,2
PartOne,aserdyuchenko,Calculate,1,5,0,0,1,2,1,2,1,2
PartOne,aserdyuchenko,Triangle,0,107,0,2,0,13,0,3,0,2
PartOne,aserdyuchenko,WithoutDuplicates,0,90,1,17,0,16,1,10,0,2
PartOne,aserdyuchenko,Square,0,66,0,2,0,11,0,4,0,3
PartOne,aserdyuchenko,BubbleSort,0,48,0,6,0,8,0,5,0,2
PartOne,aserdyuchenko,Calculator,0,30,0,0,0,10,0,6,0,6
PartOne,aserdyuchenko,MaxLenght,0,118,0,8,0,19,0,6,0,2
PartOne,aserdyuchenko,Factorial,0,26,0,2,0,5,0,3,0,2
PartOne,aserdyuchenko,FinalTaskFirst,0,46,0,6,0,11,0,7,0,4
PartOne,aserdyuchenko,Point,0,32,0,0,0,7,0,4,0,4
