GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PartThreeInputOutput,ru.aserdyuchenko.bot,Client,51,43,8,2,4,12,5,3,1,2
PartThreeInputOutput,ru.aserdyuchenko.bot,Server,51,59,8,6,4,17,5,5,1,2
PartThreeInputOutput,ru.aserdyuchenko.fileManager,RealizationClient,117,43,16,2,13,12,10,3,2,2
PartThreeInputOutput,ru.aserdyuchenko.fileManager,RealizationSettings,3,19,0,0,2,6,0,3,0,3
PartThreeInputOutput,ru.aserdyuchenko.fileManager,RealizationServer,224,89,28,8,40,26,22,5,6,3
PartThreeInputOutput,ru.aserdyuchenko.testQuestionsTwo,InvertString,30,125,7,11,0,25,5,9,0,5
PartThreeInputOutput,ru.aserdyuchenko,FiveLetters,34,104,6,12,2,21,4,8,0,3
PartThreeInputOutput,ru.aserdyuchenko,EvenNumber,30,45,6,4,0,11,4,3,0,2
PartThreeInputOutput,ru.aserdyuchenko,Chat,30,97,7,11,0,27,5,6,0,2
PartThreeInputOutput,ru.aserdyuchenko,SwearWords,30,66,6,10,0,14,4,7,0,3
PartThreeInputOutput,ru.aserdyuchenko,FileSort,6,115,0,10,3,20,0,8,0,3
PartThreeInputOutput,ru.aserdyuchenko.testQuestions,Tracker,40,168,2,22,9,38,3,17,2,6
PartThreeInputOutput,ru.aserdyuchenko.testQuestions,TimeOfBankWorking,0,22,0,0,0,8,0,4,0,4
PartThreeInputOutput,ru.aserdyuchenko.testQuestions,BankVisitor,90,53,0,4,14,12,5,5,5,3
