GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PartTwoFinalTest,ru.aserdyuchenko.models,Figure,34,43,0,0,5,11,5,5,5,5
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure.Elephant,18,69,0,6,2,18,2,6,2,3
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure.Horse,27,71,4,6,3,18,5,5,2,3
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure.King,22,69,1,5,3,19,3,5,2,3
PartTwoFinalTest,ru.aserdyuchenko.start,BaseFigure,16,6,0,0,1,3,1,1,1,1
PartTwoFinalTest,ru.aserdyuchenko.start,StartUI,4,0,0,0,2,0,2,0,2,0
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure.Queen,21,82,1,9,3,22,3,7,2,3
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure.Pawn,18,61,1,5,2,17,3,5,2,3
PartTwoFinalTest,ru.aserdyuchenko.start,Chess,175,311,51,39,45,79,31,24,1,9
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure.Rook,21,66,1,7,3,19,3,6,2,3
PartTwoFinalTest,ru.aserdyuchenko.start,MenuFigure,24,127,4,0,4,17,3,3,1,3
