GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PartTwoTracker,ru.aserdyuchenko.models,Task,2,9,0,0,1,4,1,1,1,1
PartTwoTracker,ru.aserdyuchenko.models,Bug,3,0,0,0,1,0,1,0,1,0
PartTwoTracker,ru.aserdyuchenko.models,Item,19,16,0,0,8,7,3,5,3,5
PartTwoTracker,ru.aserdyuchenko.start,ConsoleInput,262,0,20,0,59,0,21,0,11,0
PartTwoTracker,ru.aserdyuchenko.start,StubRemoveItem,33,0,0,0,7,0,4,0,4,0
PartTwoTracker,ru.aserdyuchenko.start,BaseAction,16,6,0,0,1,3,1,1,1,1
PartTwoTracker,ru.aserdyuchenko.start,StubInput,301,0,20,0,56,0,21,0,11,0
PartTwoTracker,ru.aserdyuchenko.start,MenuTracker.ShowItems,0,64,0,4,0,11,0,6,0,4
PartTwoTracker,ru.aserdyuchenko.start,MenuOutException,0,4,0,0,0,2,0,1,0,1
PartTwoTracker,ru.aserdyuchenko.start,Tracker,5,322,4,44,2,56,4,30,0,10
PartTwoTracker,ru.aserdyuchenko.start,StubEditItem,51,0,0,0,11,0,4,0,4,0
PartTwoTracker,ru.aserdyuchenko.start,StubMenuTracker.StubAddItem,48,0,0,0,7,0,4,0,4,0
PartTwoTracker,ru.aserdyuchenko.start,StubMenuTracker,92,96,4,6,17,18,11,9,9,6
PartTwoTracker,ru.aserdyuchenko.start,MenuTracker,12,108,0,4,2,17,1,6,1,4
PartTwoTracker,ru.aserdyuchenko.start,MenuTracker.AddItem,0,48,0,0,0,11,0,4,0,4
PartTwoTracker,ru.aserdyuchenko.start,StubMenuTracker.StubShowItems,56,0,4,0,8,0,6,0,4,0
PartTwoTracker,ru.aserdyuchenko.start,StartUI,10,61,0,2,3,11,1,3,1,2
PartTwoTracker,ru.aserdyuchenko.start,EditItem,0,55,0,0,0,13,0,4,0,4
PartTwoTracker,ru.aserdyuchenko.start,RemoveItem,0,37,0,0,0,9,0,4,0,4
PartTwoTracker,ru.aserdyuchenko.start,ValidateInput,28,0,2,0,12,0,3,0,2,0
