GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Part_Eight_SQL_JDBC,ru.aserdyuchenko.testTask,Settings,36,0,0,0,10,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.testTask,JDBC,147,0,4,0,53,0,7,0,5,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.testTask,Start,99,0,0,0,30,0,6,0,6,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.testTask,ConnectionToWebsite,49,0,4,0,12,0,6,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.models,Bug,3,0,0,0,1,0,1,0,1,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.models,Task,9,0,0,0,4,0,1,0,1,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.models,Item,68,0,0,0,16,0,9,0,9,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.storage,JdbcStorage,359,0,46,0,58,0,29,0,6,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.JDBC,JdbcStorage,265,0,22,0,66,0,17,0,6,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.JDBC,XmlStorage,238,0,6,0,66,0,8,0,5,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.JDBC,Settings,36,0,0,0,10,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StartUI,71,0,2,0,14,0,4,0,3,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StubMenuTracker.StubAddItem,48,0,0,0,7,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StubMenuTracker.StubShowItems,51,0,4,0,9,0,6,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,ConsoleInput,257,0,20,0,60,0,21,0,11,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StubInput,296,0,20,0,57,0,21,0,11,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,MenuTracker.ShowItems,59,0,4,0,12,0,6,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,BaseAction,22,0,0,0,4,0,2,0,2,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StubRemoveItem,33,0,0,0,7,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,MenuOutException,4,0,0,0,2,0,1,0,1,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,EditItem,55,0,0,0,13,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StubEditItem,51,0,0,0,11,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,StubMenuTracker,188,0,10,0,35,0,20,0,15,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,MenuTracker.AddItem,48,0,0,0,11,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,Tracker,137,0,14,0,32,0,15,0,8,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,MenuTracker,120,0,4,0,19,0,7,0,5,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,RemoveItem,37,0,0,0,9,0,4,0,4,0
Part_Eight_SQL_JDBC,ru.aserdyuchenko.tracker.start,ValidateInput,28,0,2,0,12,0,3,0,2,0
