GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_003,com,Sorter.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
chapter_003,com,Sorter.new Comparator() {...},14,0,0,0,2,0,2,0,2,0
chapter_003,com,Sorter.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
chapter_003,com,Account.Convert,92,0,12,0,16,0,9,0,3,0
chapter_003,com,Account,90,0,12,0,21,0,13,0,7,0
chapter_003,com,Convert,92,0,12,0,16,0,9,0,3,0
chapter_003,com,Sorter,40,0,0,0,12,0,4,0,4,0
chapter_003,com,Bank,103,0,6,0,18,0,12,0,9,0
chapter_003,com,User,94,0,12,0,16,0,13,0,7,0
chapter_003,ru.job4j.comparator,ListCompare,38,47,2,12,5,13,3,7,1,2
chapter_003,ru.job4j.sort,SortUser.new Comparator() {...},0,24,0,2,0,3,0,3,0,2
chapter_003,ru.job4j.sort,SortUser.new Comparator() {...},0,22,0,2,0,3,0,3,0,2
chapter_003,ru.job4j.sort,User,36,58,5,7,4,12,7,6,2,5
chapter_003,ru.job4j.sort,SortUser,0,38,0,2,0,10,0,5,0,4
chapter_003,ru.job4j.department,SortingInDecreasingOrder,9,43,3,7,1,11,2,5,0,2
chapter_003,ru.job4j.department,Department,6,121,1,11,2,27,2,11,1,6
chapter_003,ru.job4j,User,0,15,0,0,0,6,0,2,0,2
chapter_003,ru.job4j,ConvertList,0,135,0,14,0,26,0,11,0,4
chapter_003,ru.job4j,TestCollection,498,0,12,0,86,0,10,0,4,0
chapter_003,ru.job4j,UserConvert,0,27,0,2,0,6,0,3,0,2
chapter_003,ru.job4j.bank,Bank,4,268,14,20,3,54,14,10,0,7
chapter_003,ru.job4j.bank,User,48,24,10,0,7,7,7,4,2,4
chapter_003,ru.job4j.bank,Account,35,38,3,3,4,12,5,5,2,5
