signal id;x;y;time;signal state
exampleSignal6;-5020.0;0.0;21600.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21600.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21600.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21600.0;RED
exampleSignal6;-5020.0;0.0;21630.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21630.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21630.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21630.0;GREEN
exampleSignal6;-5020.0;0.0;21660.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21660.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21660.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21660.0;RED
exampleSignal6;-5020.0;0.0;21690.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21690.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21690.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21690.0;GREEN
exampleSignal6;-5020.0;0.0;21720.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21720.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21720.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21720.0;RED
exampleSignal6;-5020.0;0.0;21750.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21750.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21750.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21750.0;GREEN
exampleSignal6;-5020.0;0.0;21780.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21780.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21780.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21780.0;RED
exampleSignal6;-5020.0;0.0;21810.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21810.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21810.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21810.0;GREEN
exampleSignal6;-5020.0;0.0;21840.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21840.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21840.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21840.0;RED
exampleSignal6;-5020.0;0.0;21870.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21870.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21870.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21870.0;GREEN
exampleSignal6;-5020.0;0.0;21900.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21900.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21900.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21900.0;RED
exampleSignal6;-5020.0;0.0;21930.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21930.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21930.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21930.0;GREEN
exampleSignal6;-5020.0;0.0;21960.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;21960.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;21960.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;21960.0;RED
exampleSignal6;-5020.0;0.0;21990.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;21990.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;21990.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;21990.0;GREEN
exampleSignal6;-5020.0;0.0;22020.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22020.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22020.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22020.0;RED
exampleSignal6;-5020.0;0.0;22050.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22050.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22050.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22050.0;GREEN
exampleSignal6;-5020.0;0.0;22080.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22080.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22080.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22080.0;RED
exampleSignal6;-5020.0;0.0;22110.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22110.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22110.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22110.0;GREEN
exampleSignal6;-5020.0;0.0;22140.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22140.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22140.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22140.0;RED
exampleSignal6;-5020.0;0.0;22170.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22170.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22170.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22170.0;GREEN
exampleSignal6;-5020.0;0.0;22200.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22200.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22200.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22200.0;RED
exampleSignal6;-5020.0;0.0;22230.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22230.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22230.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22230.0;GREEN
exampleSignal6;-5020.0;0.0;22260.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22260.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22260.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22260.0;RED
exampleSignal6;-5020.0;0.0;22290.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22290.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22290.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22290.0;GREEN
exampleSignal6;-5020.0;0.0;22320.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22320.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22320.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22320.0;RED
exampleSignal6;-5020.0;0.0;22350.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22350.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22350.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22350.0;GREEN
exampleSignal6;-5020.0;0.0;22380.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22380.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22380.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22380.0;RED
exampleSignal6;-5020.0;0.0;22410.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22410.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22410.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22410.0;GREEN
exampleSignal6;-5020.0;0.0;22440.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22440.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22440.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22440.0;RED
exampleSignal6;-5020.0;0.0;22470.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22470.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22470.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22470.0;GREEN
exampleSignal6;-5020.0;0.0;22500.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22500.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22500.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22500.0;RED
exampleSignal6;-5020.0;0.0;22530.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22530.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22530.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22530.0;GREEN
exampleSignal6;-5020.0;0.0;22560.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22560.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22560.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22560.0;RED
exampleSignal6;-5020.0;0.0;22590.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22590.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22590.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22590.0;GREEN
exampleSignal6;-5020.0;0.0;22620.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22620.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22620.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22620.0;RED
exampleSignal6;-5020.0;0.0;22650.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22650.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22650.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22650.0;GREEN
exampleSignal6;-5020.0;0.0;22680.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22680.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22680.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22680.0;RED
exampleSignal6;-5020.0;0.0;22710.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;22710.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;22710.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;22710.0;GREEN
exampleSignal6;-5020.0;0.0;22740.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;22740.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;22740.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;22740.0;RED
exampleSignal6;-5020.0;0.0;22770.0;RED
