GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonObject,44,880,6,48,7,193,10,82,4,61
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonPatch.JsonFields,6,16,0,0,2,3,1,1,1,1
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonParseOptions,0,2,0,0,0,1,0,1,0,1
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonString,0,25,0,2,0,5,0,3,0,2
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonArray,5,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonObject,5,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonKey,15,71,0,10,3,18,3,11,3,6
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonPointer,66,371,1,21,17,93,6,39,5,29
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonFieldSelectorInvalidException.Builder,0,30,0,0,0,6,0,3,0,3
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonFieldSelector,4,120,1,13,1,29,2,18,1,12
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonFieldDefinition,32,0,0,0,8,0,8,0,8,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonFieldSelector,4,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonMissingFieldException.Builder,60,0,0,0,12,0,4,0,4,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonPointerInvalidException.Builder,30,0,0,0,6,0,3,0,3,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonValueFieldDefinition,0,26,0,0,0,5,0,3,0,3
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonKey,3,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonField,0,142,1,15,0,21,1,18,0,11
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonPatch,5,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,AbstractJsonFieldDefinition,0,260,0,22,0,42,0,22,0,11
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonFieldSelectorBuilder,137,278,26,28,30,64,25,28,8,18
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonCollectors,6,64,0,0,2,5,1,8,1,8
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonPatch,5,175,1,15,1,34,1,18,0,11
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonFactory,121,677,10,74,29,172,14,86,5,53
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonPointer,5,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonArrayBuilder,161,211,1,7,32,54,15,24,14,21
Eclipse Ditto :: JSON,org.eclipse.ditto.json,AbstractMinimalJsonValueWrapper,0,81,0,6,0,20,0,16,0,13
Eclipse Ditto :: JSON,org.eclipse.ditto.json,ImmutableJsonNull,0,36,0,8,0,9,0,12,0,8
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonParseException.Builder,0,17,0,0,0,4,0,2,0,2
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonParseException,0,20,0,0,0,5,0,3,0,3
Eclipse Ditto :: JSON,org.eclipse.ditto.json,JsonPointerInvalidException,13,0,0,0,3,0,2,0,2,0
