GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers,AclEnforcer,130,0,8,0,40,0,16,0,12,0
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers,JsonObjectMerger,17,169,3,19,2,34,4,18,1,10
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers,Enforcer,73,15,2,0,20,3,6,2,5,2
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers,ImmutableEffectedSubjectIds,0,123,0,10,0,22,0,17,0,12
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers,PolicyEnforcers,15,0,0,0,5,0,4,0,4,0
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers,ImmutableEffectedSubjectIds.Builder,0,55,1,1,0,13,1,4,0,4
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,WeightedPermissions,21,145,0,8,1,38,1,17,1,13
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CheckPermissionsVisitor,2,147,1,17,1,39,1,17,0,9
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CheckUnrestrictedPermissionsVisitor,0,45,0,6,0,12,0,5,0,2
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,TreeBasedPolicyEnforcer.PointerAndPermission,0,9,0,0,0,4,0,1,0,1
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,TreeBasedPolicyEnforcer.PointerAndValue,0,9,0,0,0,4,0,1,0,1
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,ResourceNode,101,221,4,20,19,51,7,29,5,19
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,PolicyTreeNode.Type,0,29,0,0,0,3,0,2,0,2
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,SubjectNode,24,106,0,12,2,24,2,15,2,9
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CollectEffectedSubjectIdsVisitor,0,71,0,2,0,19,0,7,0,6
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,EffectedResources,21,84,0,10,1,17,1,11,1,6
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CollectPartialGrantedSubjectIdsVisitor,0,79,1,3,0,20,1,7,0,6
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CheckPartialPermissionsVisitor,0,45,0,6,0,12,0,5,0,2
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,PointerLocationEvaluator,0,85,0,12,0,26,0,10,0,4
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,PointerLocation,0,49,0,0,0,5,0,2,0,2
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,TreeBasedPolicyEnforcer,178,855,17,39,17,188,20,66,8,50
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CollectEffectedSubjectIdsVisitor.ResourceNodeEvaluator,0,190,0,24,0,46,0,18,0,6
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,CollectPartialGrantedSubjectIdsVisitor.ResourceNodeEvaluator,2,198,2,24,1,47,2,17,0,6
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.tree,WeightedPermission,17,73,0,10,1,16,1,11,1,6
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.trie,PermissionSubjectsMap,0,451,0,22,0,93,0,50,0,39
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.trie,PolicyTrie,33,472,2,22,6,100,4,41,2,31
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.trie,GrantRevokeIndex,21,174,0,16,1,33,1,20,1,12
Eclipse Ditto :: Model :: Enforcers,org.eclipse.ditto.model.enforcers.trie,TrieBasedPolicyEnforcer,2,164,1,1,1,43,1,12,0,12
