GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageSendNotAllowedException,51,0,0,0,12,0,5,0,5,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,KnownMessageSubjects,6,0,0,0,2,0,1,0,1,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,AuthorizationSubjectBlockedException,23,0,0,0,6,0,4,0,4,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageFormatInvalidException,44,62,2,8,10,11,5,7,4,3
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,ImmutableMessage,127,56,15,1,19,14,19,9,11,9
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeadersBuilder,25,247,6,10,6,53,6,21,0,19
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,ThingIdInvalidException,47,0,0,0,10,0,5,0,5,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeaderDefinition,3,130,0,0,1,18,1,5,1,5
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,SubjectInvalidException,41,16,0,0,9,3,3,2,3,2
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,ImmutableMessageBuilder,10,38,0,0,4,10,2,4,2,4
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,SubjectInvalidException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,TimeoutInvalidException.Builder,35,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,ImmutableMessageHeaders,16,101,0,0,1,23,1,15,1,15
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,TimeoutInvalidException,62,0,0,0,12,0,5,0,5,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageSendNotAllowedException.Builder,31,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeaders,18,5,0,0,4,1,4,1,4,1
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageBuilder,5,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeaderDefinition.new MessageHeaderDefinition() {...},0,43,0,2,0,9,0,4,0,3
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageFormatInvalidException.Builder,53,0,0,0,16,0,5,0,5,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,ThingIdInvalidException.Builder,31,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeaderDefinition.new MessageHeaderDefinition() {...},0,34,0,0,0,6,0,3,0,3
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeaderDefinition.new MessageHeaderDefinition() {...},0,33,0,0,0,8,0,2,0,2
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageHeaderDefinition.new MessageHeaderDefinition() {...},16,18,0,0,3,5,0,2,0,2
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageTimeoutException.Builder,31,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessagesModelFactory,12,5,0,0,4,1,3,1,3,1
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,Message,3,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageTimeoutException,51,0,0,0,12,0,5,0,5,0
Eclipse Ditto :: Model :: Messages,org.eclipse.ditto.model.messages,MessageDirection,0,29,0,0,0,3,0,2,0,2
