GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Resource.JsonFields,6,18,0,0,2,2,1,1,1,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyIdInvalidException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableEffectedPermissions.new Object() {...},2,17,0,0,0,1,0,1,0,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePolicyRevision,0,101,0,16,0,19,0,19,0,11
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyEntry.JsonFields,6,44,0,0,2,5,1,1,1,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyEntry,13,12,0,0,2,2,2,2,2,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Resource,12,21,0,0,2,4,2,4,2,4
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableSubjectId,16,146,1,13,3,29,3,15,2,9
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableSubjectIssuer,15,51,0,6,3,13,3,8,3,5
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Policy.JsonFields,6,116,0,0,2,13,1,1,1,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableSubjects,22,288,2,12,3,65,4,24,2,19
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Resources,23,16,0,0,4,3,4,3,4,3
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyRevision,0,3,0,0,0,1,0,1,0,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,EffectedPermissions,8,24,0,0,1,5,1,5,1,5
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableSubjectType,15,51,0,6,3,13,3,8,3,5
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Subject,8,35,0,0,1,7,1,7,1,7
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,SubjectIdInvalidException.Builder,31,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PoliciesResourceType,6,12,0,0,2,3,1,3,1,3
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Subject.JsonFields,6,31,0,0,2,3,1,1,1,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PermissionEffect,6,34,0,0,2,6,2,2,2,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePermissions,37,123,0,2,9,27,8,10,8,9
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePermissions.new Iterator() {...},9,21,0,0,3,4,2,3,2,3
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyBuilder,52,41,0,0,8,8,7,5,7,5
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,SubjectId,13,7,0,0,1,2,1,2,1,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ResourceKey,13,7,0,0,1,2,1,2,1,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Policy,66,30,0,0,15,6,9,5,9,5
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Label,0,16,0,0,0,2,0,2,0,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,SubjectType,0,7,0,0,0,2,0,2,0,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,SubjectIdInvalidException,54,0,0,0,11,0,6,0,6,0
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Permissions,7,6,0,0,1,2,1,2,1,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableLabel,6,60,0,6,1,15,1,10,1,7
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableResourceKey,15,88,0,10,3,15,3,12,3,7
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyEntryInvalidException,38,0,0,0,9,0,5,0,5,0
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePolicy,190,786,20,44,29,163,23,47,5,33
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableResource,44,147,2,10,9,28,6,19,5,14
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyEntryInvalidException.Builder,17,0,0,0,4,0,2,0,2,0
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,Subjects,33,16,0,0,6,3,6,3,6,3
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableEffectedPermissions,14,205,1,16,1,42,1,21,0,13
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePolicyEntry,26,160,0,12,1,35,1,15,1,9
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,EffectedPermissions.JsonFields,6,44,0,0,2,5,1,1,1,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePolicyBuilder,149,431,0,0,34,98,11,32,11,32
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PoliciesModelFactory,143,212,2,12,31,54,20,33,18,28
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutablePolicyBuilderLabelScoped,151,59,0,0,39,14,20,8,20,8
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,SubjectIssuer,0,7,0,0,0,2,0,1,0,1
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableSubject,9,141,0,10,2,26,1,15,1,10
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,ImmutableResources,16,279,3,11,4,59,6,22,3,18
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyLifecycle,0,42,0,0,0,6,0,4,0,4
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyIdInvalidException,38,16,0,0,8,3,4,2,4,2
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyBuilder.LabelScoped,189,52,0,0,42,10,21,5,21,5
Eclipse Ditto :: Model :: Policies,org.eclipse.ditto.model.policies,PolicyIdValidator,0,11,0,0,0,4,0,3,0,3
