GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.options.rql,RqlOptionParser,0,10,0,0,0,3,0,3,0,3
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.parser,RqlOptionParser.,7,105,2,6,0,8,2,7,0,5
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.parser,RqlParserBase,2459,2582,451,461,6,39,322,231,29,68
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.parser,RqlPredicateParser,2110,2788,278,548,0,45,215,269,9,62
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.parser,RqlPredicateParser.,7,112,2,6,0,11,2,7,0,5
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.parser,RqlOptionParser,811,1223,146,232,0,20,120,107,8,30
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.rql,RqlPredicateParser,0,10,0,0,0,3,0,3,0,3
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser,ParserException,11,5,0,0,6,2,3,1,3,1
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,SingleComparisonNode,0,10,0,0,0,4,0,2,0,2
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,LogicalNode,2,152,1,17,1,39,1,18,0,10
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,MultiComparisonNode.Type,3,23,0,0,1,5,1,2,1,2
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,MultiComparisonNode,0,25,0,0,0,8,0,4,0,4
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,ExistsNode,12,47,0,6,1,13,1,8,1,5
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,RootNode,0,3,0,0,0,1,0,1,0,1
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,SuperNode,18,65,1,13,4,20,3,10,2,4
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,LogicalNode.Type,0,98,0,4,0,17,0,6,0,4
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,SingleComparisonNode.Type,3,89,0,0,1,11,1,2,1,2
Eclipse Ditto :: Model :: Thing Search Parser,org.eclipse.ditto.model.thingsearchparser.predicates.ast,ComparisonNode,26,137,0,30,3,37,2,21,2,6
