GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
beacon,org.molgenis.beacon.controller,BeaconController,0,37,0,0,0,8,0,5,0,5
beacon,org.molgenis.beacon.controller.model,AutoValue_BeaconAlleleResponse,79,98,18,10,14,20,15,7,1,7
beacon,org.molgenis.beacon.controller.model,BeaconAlleleResponse,0,11,0,0,0,2,0,2,0,2
beacon,org.molgenis.beacon.controller.model,BeaconResponse,0,15,0,0,0,2,0,2,0,2
beacon,org.molgenis.beacon.controller.model,BeaconOrganizationResponse,14,0,0,0,2,0,2,0,2,0
beacon,org.molgenis.beacon.controller.model,BeaconAlleleRequest,0,11,0,0,0,2,0,2,0,2
beacon,org.molgenis.beacon.controller.model,AutoValue_BeaconOrganizationResponse,294,0,52,0,49,0,37,0,11,0
beacon,org.molgenis.beacon.controller.model,AutoValue_BeaconDatasetResponse,100,38,18,2,21,8,15,2,5,2
beacon,org.molgenis.beacon.controller.model,BeaconDatasetResponse,0,10,0,0,0,2,0,2,0,2
beacon,org.molgenis.beacon.controller.model,AutoValue_BeaconAlleleRequest,69,98,10,10,16,22,11,7,1,7
beacon,org.molgenis.beacon.controller.model,AutoValue_BeaconError,99,0,12,0,24,0,12,0,6,0
beacon,org.molgenis.beacon.controller.model,BeaconError,9,0,0,0,2,0,2,0,2,0
beacon,org.molgenis.beacon.controller.model,AutoValue_BeaconResponse,236,87,47,5,41,17,35,3,9,3
beacon,org.molgenis.beacon.service.impl,BeaconQueryServiceImpl,17,146,5,9,6,32,5,8,0,6
beacon,org.molgenis.beacon.service.impl,BeaconInfoServiceImpl,0,28,0,0,0,5,0,3,0,3
beacon,org.molgenis.beacon.controller.model.exceptions,BeaconException,3,4,0,0,2,2,1,1,1,1
beacon,org.molgenis.beacon.controller.model.exceptions,BeaconExceptionHandler,43,0,0,0,8,0,4,0,4,0
beacon,org.molgenis.beacon.controller.model.exceptions,UnknownBeaconException,30,0,0,0,7,0,3,0,3,0
beacon,org.molgenis.beacon.controller.model.exceptions,NestedBeaconException,6,21,0,0,2,4,2,1,2,1
beacon,org.molgenis.beacon.config,BeaconOrganizationFactory,6,0,0,0,2,0,1,0,1,0
beacon,org.molgenis.beacon.config,BeaconPackage,20,0,0,0,6,0,2,0,2,0
beacon,org.molgenis.beacon.config,BeaconFactory,6,0,0,0,2,0,1,0,1,0
beacon,org.molgenis.beacon.config,BeaconOrganizationMetadata,126,0,0,0,35,0,2,0,2,0
beacon,org.molgenis.beacon.config,BeaconDataset,45,0,0,0,12,0,9,0,9,0
beacon,org.molgenis.beacon.config,Beacon,95,0,2,0,23,0,15,0,14,0
beacon,org.molgenis.beacon.config,BeaconOrganization,57,0,0,0,15,0,11,0,11,0
beacon,org.molgenis.beacon.config,BeaconDatasetFactory,6,0,0,0,2,0,1,0,1,0
beacon,org.molgenis.beacon.config,BeaconMetadata,158,0,0,0,44,0,2,0,2,0
beacon,org.molgenis.beacon.config,BeaconDatasetMetadata,114,0,0,0,31,0,2,0,2,0
