GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-ui,org.molgenis.core.ui.menu.json,MenuItem,9,37,0,2,1,6,1,4,1,3
core-ui,org.molgenis.core.ui.menu.json,AutoValue_MenuItem,187,24,29,3,31,10,24,1,8,1
core-ui,org.molgenis.core.ui.browserdetection,BrowserDetectionFilter,45,40,8,2,13,4,7,4,3,3
core-ui,org.molgenis.core.ui.file,FileDownloadController,92,0,10,0,23,0,7,0,2,0
core-ui,org.molgenis.core.ui.converter,RdfConverter,31,0,0,0,7,0,4,0,4,0
core-ui,org.molgenis.core.ui.converter,RDFMediaType,98,0,0,0,13,0,3,0,3,0
core-ui,org.molgenis.core.ui.settingsmanager,SettingsManagerController,6,0,0,0,3,0,2,0,2,0
core-ui,org.molgenis.core.ui.admin.user,AccountUpdateRequest,0,115,0,0,0,49,0,33,0,33
core-ui,org.molgenis.core.ui.admin.user,UserAccountController,0,396,1,41,0,80,1,36,0,16
core-ui,org.molgenis.core.ui.wizard,AbstractWizardPage,11,3,0,0,1,1,1,1,1,1
core-ui,org.molgenis.core.ui.wizard,Wizard,27,119,6,16,5,24,6,15,0,10
core-ui,org.molgenis.core.ui.wizard,AbstractWizardController,62,29,7,1,19,10,9,4,5,4
core-ui,org.molgenis.core.ui.wizard,WizardButton,3,24,0,0,1,9,1,4,1,4
core-ui,org.molgenis.core.ui.thememanager,ThemeManagerController,55,35,3,3,9,12,5,3,3,2
core-ui,org.molgenis.core.ui.data.system.core,FreemarkerTemplateMetaData,0,58,0,0,0,11,0,2,0,2
core-ui,org.molgenis.core.ui.data.system.core,FreemarkerTemplate,15,44,0,2,6,12,3,8,3,7
core-ui,org.molgenis.core.ui.data.system.core,FreemarkerTemplateFactory,0,6,0,0,0,2,0,1,0,1
core-ui,org.molgenis.core.ui.data.importer.wizard,UploadWizardPage,73,4,4,0,23,1,5,1,3,1
core-ui,org.molgenis.core.ui.data.importer.wizard,ImportWizard,116,3,0,0,48,1,32,1,32,1
core-ui,org.molgenis.core.ui.data.importer.wizard,ImportResultsWizardPage,7,0,0,0,3,0,3,0,3,0
core-ui,org.molgenis.core.ui.data.importer.wizard,ImportWizardController,138,322,20,16,21,85,18,12,2,10
core-ui,org.molgenis.core.ui.data.importer.wizard,ValidationResultWizardPage,94,4,4,0,24,1,5,1,3,1
core-ui,org.molgenis.core.ui.data.importer.wizard,ImportWizardUtil,71,17,6,2,14,6,6,2,1,2
core-ui,org.molgenis.core.ui.data.importer.wizard,PackageWizardPage,43,173,6,6,7,39,7,7,1,7
core-ui,org.molgenis.core.ui.data.importer.wizard,OptionsWizardPage,282,4,22,0,66,1,16,1,5,1
core-ui,org.molgenis.core.ui,AppDataRootInitializer,110,0,12,0,24,0,9,0,3,0
