GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-elasticsearch,org.molgenis.data.elasticsearch,AggregateUtils,3,0,0,0,1,0,1,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch,ElasticsearchService.new Object() {...},40,0,0,0,1,0,1,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch,AggregateResponseParser.AggregateLabelComparable,14,0,4,0,2,0,3,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch,ElasticsearchService,336,114,7,11,67,25,29,9,24,4
data-elasticsearch,org.molgenis.data.elasticsearch,AggregateResponseParser,870,0,120,0,201,0,71,0,11,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator,IndexGenerator,16,0,0,0,5,0,2,0,2,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator,SortGenerator,43,93,6,6,8,24,6,8,0,6
data-elasticsearch,org.molgenis.data.elasticsearch.generator,AggregationGenerator.new Object() {...},145,0,0,0,1,0,1,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator,QueryGenerator.new Object() {...},37,231,0,0,0,2,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator,SortGenerator.new Object() {...},22,141,0,0,0,2,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator,AggregationGenerator,501,0,61,0,101,0,38,0,6,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator,DocumentContentBuilder.new Object() {...},20,125,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator,MappingGenerator,17,123,2,12,2,28,2,16,0,7
data-elasticsearch,org.molgenis.data.elasticsearch.generator,ContentGenerators,62,0,0,0,13,0,8,0,8,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator,DocumentContentBuilder,24,262,2,33,4,80,2,27,0,7
data-elasticsearch,org.molgenis.data.elasticsearch.generator,DocumentIdGenerator,0,82,0,2,0,11,0,7,0,6
data-elasticsearch,org.molgenis.data.elasticsearch.generator,QueryContentGenerators,37,0,0,0,8,0,4,0,4,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator,QueryGenerator,619,962,70,89,96,206,62,64,4,23
data-elasticsearch,org.molgenis.data.elasticsearch.generator,MappingGenerator.new Object() {...},20,125,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,AutoValue_SearchHit.Builder,40,37,5,5,5,13,5,4,0,4
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,AutoValue_SearchHits.Builder,72,0,8,0,17,0,8,0,4,0
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,SearchHits.Builder,3,0,0,0,1,0,1,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,AutoValue_SearchHits,91,0,8,0,20,0,10,0,6,0
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,SearchHit.Builder,0,3,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,SearchHits,14,0,0,0,3,0,3,0,3,0
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,AutoValue_SearchHit,70,15,8,0,14,6,7,3,3,3
data-elasticsearch,org.molgenis.data.elasticsearch.client.model,SearchHit,0,14,0,0,0,3,0,3,0,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_DocumentAction.Builder,103,0,14,0,24,0,12,0,5,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,FieldMapping.Builder,0,3,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_FieldMapping.Builder,40,44,5,5,5,15,5,5,0,5
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_Mapping.Builder,40,37,5,5,5,13,5,4,0,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_SortOrder,46,39,4,4,9,11,6,4,2,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_Sort.Builder,26,25,3,3,3,9,3,3,0,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,FieldMapping,0,16,0,0,0,6,0,3,0,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,IndexSettings,3,18,0,0,1,4,1,3,1,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_Mapping,46,39,4,4,9,11,6,4,2,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,SortOrder,0,16,0,0,0,3,0,3,0,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,Document,0,14,0,0,0,3,0,3,0,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_IndexSettings.Builder,30,37,3,3,3,13,3,4,0,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_Document.Builder,26,32,3,3,3,11,3,4,0,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,Document.Builder,0,3,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,SortDirection,0,24,0,0,0,2,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,DocumentAction.Builder,3,0,0,0,1,0,1,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,DocumentAction,16,0,0,0,3,0,3,0,3,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_SortOrder.Builder,40,37,5,5,5,13,5,4,0,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,IndexSettings.Builder,0,3,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,MappingType,0,84,0,0,0,2,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,Sort.Builder,0,3,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,Index,0,8,0,0,0,2,0,2,0,2
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_Sort,30,24,2,2,7,8,4,3,2,3
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,AutoValue_Document,57,40,9,5,9,11,9,4,2,4
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,DocumentAction.Operation,24,0,0,0,2,0,1,0,1,0
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,SortOrder.Builder,0,3,0,0,0,1,0,1,0,1
data-elasticsearch,org.molgenis.data.elasticsearch.generator.model,Mapping,0,16,0,0,0,3,0,3,0,3
