GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-import,org.molgenis.data.importer.emx,EmxMetaDataParser.EmxAttribute,32,0,0,0,13,0,8,0,8,0
data-import,org.molgenis.data.importer.emx,EmxImportService,178,0,16,0,36,0,20,0,12,0
data-import,org.molgenis.data.importer.emx,ImportWriter,251,0,13,0,57,0,20,0,12,0
data-import,org.molgenis.data.importer.emx,ImporterConfiguration,55,0,0,0,4,0,4,0,4,0
data-import,org.molgenis.data.importer.emx,EmxImportJob,26,0,0,0,9,0,3,0,3,0
data-import,org.molgenis.data.importer.emx,IntermediateParseResults,415,79,74,2,76,18,57,2,19,2
data-import,org.molgenis.data.importer.emx,EmxFileExtensions,82,0,0,0,7,0,4,0,4,0
data-import,org.molgenis.data.importer.emx,EmxDataProvider,261,90,47,8,54,19,30,9,4,6
data-import,org.molgenis.data.importer.emx,EmxMetaDataParser,3026,0,390,0,578,0,237,0,42,0
data-import,org.molgenis.data.importer.emx,ImportWriter.new Object() {...},33,0,0,0,1,0,1,0,1,0
data-import,org.molgenis.data.importer.emx,EmxDataProvider.new Object() {...},138,0,0,0,1,0,1,0,1,0
data-import,org.molgenis.data.importer.emx,ImportWriter.GroupedEntityTypes,19,0,0,0,6,0,3,0,3,0
data-import,org.molgenis.data.importer,MyEntitiesValidationReport.AttributeState,59,0,0,0,9,0,3,0,3,0
data-import,org.molgenis.data.importer,MyEntitiesValidationReport.new Object() {...},33,0,0,0,1,0,1,0,1,0
data-import,org.molgenis.data.importer,ImportRunFactory,0,6,0,0,0,2,0,1,0,1
data-import,org.molgenis.data.importer,ImportRunService,154,74,6,0,42,13,8,3,5,3
data-import,org.molgenis.data.importer,DataPersisterImpl.new Object() {...},7,51,0,0,0,2,0,1,0,1
data-import,org.molgenis.data.importer,EntityImportReport,164,0,24,0,36,0,21,0,9,0
data-import,org.molgenis.data.importer,DataPersister.DataMode,0,34,0,0,0,2,0,1,0,1
data-import,org.molgenis.data.importer,DataPersisterImpl,45,387,7,26,10,107,7,38,1,24
data-import,org.molgenis.data.importer,PersistResult,0,8,0,0,0,2,0,2,0,2
data-import,org.molgenis.data.importer,ImportServiceFactory,136,0,10,0,30,0,13,0,8,0
data-import,org.molgenis.data.importer,ImportRun,95,72,3,3,32,13,22,5,20,4
data-import,org.molgenis.data.importer,AutoValue_PersistResult,35,26,3,3,8,9,5,3,2,3
data-import,org.molgenis.data.importer,EntitiesValidationReportImpl,105,0,8,0,24,0,13,0,9,0
data-import,org.molgenis.data.importer,ImportServiceRegistrar,26,0,0,0,9,0,3,0,3,0
data-import,org.molgenis.data.importer,ParsedMetaData,279,0,52,0,50,0,36,0,10,0
data-import,org.molgenis.data.importer,DataPersister.MetadataMode,0,44,0,0,0,2,0,1,0,1
data-import,org.molgenis.data.importer,MyEntitiesValidationReport,370,0,43,0,62,0,40,0,17,0
data-import,org.molgenis.data.importer,ImportJob,336,0,64,0,52,0,37,0,5,0
data-import,org.molgenis.data.importer,ImportStatus,0,34,0,0,0,2,0,1,0,1
data-import,org.molgenis.data.importer,ImportRunMetaData,0,133,0,0,0,21,0,2,0,2
