GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-index,org.molgenis.data.index.job,IndexJobExecution,30,0,0,0,13,0,6,0,6,0
data-index,org.molgenis.data.index.job,IndexJobExecutionFactory,0,6,0,0,0,2,0,1,0,1
data-index,org.molgenis.data.index.job,IndexStatus,166,25,14,0,41,6,13,2,6,2
data-index,org.molgenis.data.index.job,IndexJobExecutionMeta,0,44,0,0,0,11,0,3,0,3
data-index,org.molgenis.data.index.job,IndexJobService,36,360,4,16,6,80,4,15,0,9
data-index,org.molgenis.data.index.job,IndexJobSchedulerImpl,66,93,2,2,16,29,6,5,4,5
data-index,org.molgenis.data.index.meta,IndexActionGroup,17,21,1,1,6,6,4,3,3,3
data-index,org.molgenis.data.index.meta,IndexActionFactory,0,6,0,0,0,2,0,1,0,1
data-index,org.molgenis.data.index.meta,IndexActionGroupMetaData,0,44,0,0,0,9,0,2,0,2
data-index,org.molgenis.data.index.meta,IndexPackage,10,10,0,0,3,3,1,1,1,1
data-index,org.molgenis.data.index.meta,IndexActionMetaData,0,100,0,0,0,23,0,2,0,2
data-index,org.molgenis.data.index.meta,IndexActionGroupFactory,0,6,0,0,0,2,0,1,0,1
data-index,org.molgenis.data.index.meta,IndexAction,86,81,17,7,16,21,19,11,8,10
data-index,org.molgenis.data.index.meta,IndexActionMetaData.IndexStatus,0,54,0,0,0,6,0,1,0,1
data-index,org.molgenis.data.index.bootstrap,IndexBootstrapper,0,119,0,4,0,31,0,8,0,6
data-index,org.molgenis.data.index.transaction,IndexTransactionListener,41,17,2,0,16,5,4,2,3,2
data-index,org.molgenis.data.index,IndexedRepositoryDecorator,4,322,1,13,2,44,1,21,0,15
data-index,org.molgenis.data.index,AutoValue_Impact,27,77,6,10,4,18,7,7,1,5
data-index,org.molgenis.data.index,IndexConfig.new JobFactory() {...},12,6,0,0,1,1,2,1,2,1
data-index,org.molgenis.data.index,IndexDependencyModel,0,192,0,18,0,38,0,17,0,8
data-index,org.molgenis.data.index,IndexActionRepositoryDecorator,0,228,1,1,0,64,1,18,0,18
data-index,org.molgenis.data.index,IndexActionRegisterServiceImpl,127,284,17,13,29,63,20,14,6,13
data-index,org.molgenis.data.index,IndexConfig,0,47,0,0,0,9,0,6,0,6
data-index,org.molgenis.data.index,IndexActionRepositoryCollectionDecorator,12,62,0,0,3,17,1,6,1,6
data-index,org.molgenis.data.index,IndexedRepositoryDecoratorFactory,22,0,0,0,5,0,2,0,2,0
data-index,org.molgenis.data.index,Impact,1,34,1,3,0,6,1,7,0,6
data-index,org.molgenis.data.index,IndexingStrategy,7,104,1,3,1,20,1,6,0,5
data-index,org.molgenis.data.index.exception,UnknownIndexException,15,11,0,0,2,2,1,1,1,1
data-index,org.molgenis.data.index.exception,IndexException,5,4,0,0,2,2,1,1,1,1
data-index,org.molgenis.data.index.exception,IndexAlreadyExistsException,11,0,0,0,2,0,1,0,1,0
