GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-rest,org.molgenis.data.rest.v2,EntityAggregatesResponse.AggregateResultResponse,22,107,6,6,7,30,6,9,1,8
data-rest,org.molgenis.data.rest.v2,EntityAggregatesResponse,25,0,0,0,8,0,4,0,4,0
data-rest,org.molgenis.data.rest.v2,ResourcesResponseV2,5,3,0,0,1,1,1,1,1,1
data-rest,org.molgenis.data.rest.v2,AttributeFilterToFetchConverter.new Object() {...},7,47,0,0,0,1,0,1,0,1
data-rest,org.molgenis.data.rest.v2,AutoValue_CopyEntityRequestV2,58,3,6,0,16,1,7,1,4,1
data-rest,org.molgenis.data.rest.v2,EntityCollectionRequestV2,59,31,0,0,12,11,6,8,6,8
data-rest,org.molgenis.data.rest.v2,AutoValue_EntityCollectionDeleteRequestV2,58,3,6,0,16,1,7,1,4,1
data-rest,org.molgenis.data.rest.v2,EntityCollectionResponseV2,56,39,0,0,18,10,9,1,9,1
data-rest,org.molgenis.data.rest.v2,RestControllerV2.new Object() {...},20,125,0,0,0,1,0,1,0,1
data-rest,org.molgenis.data.rest.v2,AttributeFilterConverter,12,136,2,18,2,39,2,15,0,5
data-rest,org.molgenis.data.rest.v2,EntityCollectionBatchRequestV2,3,0,0,0,1,0,1,0,1,0
data-rest,org.molgenis.data.rest.v2,CategoricalUtils,0,51,0,4,0,8,0,6,0,4
data-rest,org.molgenis.data.rest.v2,CategoricalOptionV2,6,9,0,0,2,4,2,1,2,1
data-rest,org.molgenis.data.rest.v2,EntityCollectionDeleteRequestV2,3,0,0,0,1,0,1,0,1,0
data-rest,org.molgenis.data.rest.v2,AutoValue_EntityCollectionBatchRequestV2,66,3,10,0,14,1,9,1,4,1
data-rest,org.molgenis.data.rest.v2,AttributeFilterToFetchConverter,18,279,3,38,3,68,4,28,1,10
data-rest,org.molgenis.data.rest.v2,EntityTypeResponseV2,67,150,9,7,17,31,21,3,14,2
data-rest,org.molgenis.data.rest.v2,AttributeResponseV2,103,272,5,25,32,57,31,20,27,9
data-rest,org.molgenis.data.rest.v2,RestControllerV2,329,1138,32,79,55,243,35,77,10,42
data-rest,org.molgenis.data.rest.v2,RestConfig,79,0,0,0,16,0,7,0,7,0
data-rest,org.molgenis.data.rest.v2,EntityCollectionBatchCreateResponseBodyV2,3,18,0,0,1,6,1,3,1,3
data-rest,org.molgenis.data.rest.v2,AutoValue_ResourcesResponseV2,53,8,5,1,13,4,7,1,4,1
data-rest,org.molgenis.data.rest.v2,CopyEntityRequestV2,8,0,0,0,2,0,2,0,2,0
data-rest,org.molgenis.data.rest.v2,AttributeFilter,78,130,19,13,9,33,16,18,2,16
data-rest,org.molgenis.data.rest.util,Href,25,162,1,1,8,14,5,8,4,8
data-rest,org.molgenis.data.rest.service,RestService.new Object() {...},20,125,0,0,0,1,0,1,0,1
data-rest,org.molgenis.data.rest.service,ServletUriComponentsBuilderFactory,5,0,0,0,2,0,2,0,2,0
data-rest,org.molgenis.data.rest.service,RestService,479,580,48,52,89,149,40,38,3,20
data-rest,org.molgenis.data.rest.convert,AggregateQueryRsqlConverter,18,0,0,0,5,0,2,0,2,0
data-rest,org.molgenis.data.rest.convert,SortConverter,0,66,0,6,0,12,0,5,0,2
data-rest,org.molgenis.data.rest.convert,QueryRsqlConverter,16,0,0,0,5,0,2,0,2,0
data-rest,org.molgenis.data.rest,SortV1,172,0,24,0,43,0,24,0,12,0
data-rest,org.molgenis.data.rest,EntityCollectionResponse,19,89,1,5,6,14,7,5,6,3
data-rest,org.molgenis.data.rest,EntityPager,3,76,0,8,1,14,1,10,1,6
data-rest,org.molgenis.data.rest,EntityTypeResponse,47,291,13,39,14,54,26,15,13,2
data-rest,org.molgenis.data.rest,EntityCollectionRequest,12,39,0,0,6,15,3,10,3,10
data-rest,org.molgenis.data.rest,EntityTypeRequest,8,9,0,0,4,3,2,3,2,3
data-rest,org.molgenis.data.rest,QueryStringParser,0,98,3,13,0,20,3,7,0,2
data-rest,org.molgenis.data.rest,LoginRequest,8,9,0,0,4,3,2,3,2,3
data-rest,org.molgenis.data.rest,SortV1.DirectionV1,19,24,0,0,3,2,1,1,1,1
data-rest,org.molgenis.data.rest,AttributeResponse,358,221,78,28,64,59,84,1,31,1
data-rest,org.molgenis.data.rest,LoginResponse,27,0,0,0,10,0,5,0,5,0
data-rest,org.molgenis.data.rest,SortV1.OrderV1,140,0,14,0,29,0,18,0,11,0
data-rest,org.molgenis.data.rest,RestController.new Object() {...},6,41,0,0,0,1,0,1,0,1
data-rest,org.molgenis.data.rest,RestController,1100,1151,175,89,183,239,130,59,15,40
