GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data,org.molgenis.data.decorator,DynamicRepositoryDecoratorFactoryRegistrar,0,22,0,0,0,6,0,2,0,2
data,org.molgenis.data.decorator,DynamicRepositoryDecoratorRegistryImpl,26,110,6,10,4,26,8,7,2,5
data,org.molgenis.data.listeners,EntityListenersService,4,226,1,5,1,47,1,13,0,11
data,org.molgenis.data.listeners,EntityListenerRepositoryDecorator,0,39,0,0,0,10,0,3,0,3
data,org.molgenis.data.decorator.meta,DynamicDecorator,44,0,0,0,16,0,9,0,9,0
data,org.molgenis.data.decorator.meta,DynamicDecoratorPopulator,34,118,2,2,6,30,4,9,3,8
data,org.molgenis.data.decorator.meta,DecoratorPackage,14,10,0,0,4,3,1,1,1,1
data,org.molgenis.data.decorator.meta,DecoratorConfiguration,30,0,0,0,10,0,6,0,6,0
data,org.molgenis.data.decorator.meta,DecoratorConfigurationMetadata,0,76,0,0,0,14,0,2,0,2
data,org.molgenis.data.decorator.meta,DynamicDecoratorFactory,6,0,0,0,2,0,1,0,1,0
data,org.molgenis.data.decorator.meta,DynamicDecoratorMetadata,0,62,0,0,0,9,0,2,0,2
data,org.molgenis.data.decorator.meta,DecoratorConfigurationFactory,6,0,0,0,2,0,1,0,1,0
data,org.molgenis.data.mem,InMemoryRepository,89,203,4,12,17,48,16,22,12,18
data,org.molgenis.data.meta.persist,PackagePersister,0,117,2,6,0,26,2,8,0,6
data,org.molgenis.data.config,DataSourceConfig,95,0,8,0,23,0,6,0,2,0
data,org.molgenis.data.meta.system,SystemAttribute,0,7,0,0,0,2,0,1,0,1
data,org.molgenis.data.meta.system,SystemPackageRegistry,51,0,4,0,12,0,6,0,4,0
data,org.molgenis.data.meta.system,SystemEntityTypeRegistrar,26,0,0,0,9,0,3,0,3,0
data,org.molgenis.data.meta.system,SystemEntityTypeInitializer,132,0,8,0,31,0,11,0,7,0
data,org.molgenis.data.meta.system,SystemPackageRegistrar,26,0,0,0,9,0,3,0,3,0
data,org.molgenis.data.aggregation,AggregateResult,157,0,30,0,29,0,22,0,7,0
data,org.molgenis.data.support,DynamicEntity.new Object() {...},20,125,0,0,0,1,0,1,0,1
data,org.molgenis.data.support,EntityTypeUtils.new Object() {...},20,125,0,0,0,1,0,1,0,1
data,org.molgenis.data.support,MapOfStringsExpressionEvaluator.AttributeWithJsonExpression,225,22,0,0,52,7,52,4,52,4
data,org.molgenis.data.support,AggregateQueryImpl,209,0,38,0,52,0,35,0,16,0
data,org.molgenis.data.support,AbstractRepository,102,106,7,3,24,19,21,13,17,12
data,org.molgenis.data.support,DataServiceImpl,95,136,0,0,22,26,17,21,17,21
data,org.molgenis.data.support,RepositoryCopier,0,71,0,0,0,13,0,3,0,3
data,org.molgenis.data.support,AbstractRepositoryCollection,36,0,0,0,9,0,9,0,9,0
data,org.molgenis.data.support,EntityReference.new Object() {...},20,125,0,0,0,1,0,1,0,1
data,org.molgenis.data.support,ExpressionEvaluatorFactory,26,0,2,0,5,0,3,0,2,0
data,org.molgenis.data.support,MapOfStringsExpressionEvaluator,0,137,0,10,0,29,0,7,0,2
data,org.molgenis.data.support,AbstractWritable,38,0,0,0,13,0,7,0,7,0
data,org.molgenis.data.support,EntityReference,81,222,2,13,14,42,11,22,9,15
data,org.molgenis.data.support,PartialEntity,5,289,0,24,2,49,1,31,1,19
data,org.molgenis.data.support,AttributeUtils.DefaultEntityReferenceCreator,26,0,0,0,2,0,4,0,4,0
data,org.molgenis.data.support,AbstractWritable.EntityWriteMode,24,0,0,0,2,0,1,0,1,0
data,org.molgenis.data.support,QueryImpl,370,378,34,20,62,73,48,28,22,27
data,org.molgenis.data.support,EntityTypeUtils,83,148,17,24,21,34,15,24,3,12
data,org.molgenis.data.support,StaticEntity,67,76,3,1,15,22,14,13,12,13
data,org.molgenis.data.support,DynamicEntity,331,300,21,30,43,63,25,30,7,18
data,org.molgenis.data.support,LazyEntity,48,172,3,11,6,41,5,24,3,19
data,org.molgenis.data.support,BatchingQueryResult,3,36,1,3,1,6,1,3,0,2
data,org.molgenis.data.support,AttributeUtils.new Object() {...},20,125,0,0,0,1,0,1,0,1
data,org.molgenis.data.support,EntityWithComputedAttributes,304,0,30,0,68,0,35,0,20,0
data,org.molgenis.data.support,DefaultEntityCollection,7,11,0,0,2,5,2,2,2,2
data,org.molgenis.data.support,AbstractWritable.AttributeWriteMode,24,0,0,0,2,0,1,0,1,0
data,org.molgenis.data.support,BootstrapEntity,0,5,0,0,0,3,0,2,0,2
data,org.molgenis.data.support,StringExpressionEvaluator,0,64,0,4,0,14,0,4,0,2
data,org.molgenis.data.support,AttributeUtils,85,147,3,12,13,35,5,24,2,15
data,org.molgenis.data.populate,IdGeneratorImpl.new Object() {...},5,35,0,0,0,1,0,1,0,1
data,org.molgenis.data.populate,IdGenerator.Strategy,0,54,0,0,0,6,0,1,0,1
data,org.molgenis.data.populate,IdGeneratorImpl,0,56,0,5,0,14,0,10,0,6
data,org.molgenis.data.populate,DefaultValuePopulator,181,39,15,0,36,10,22,5,10,5
data,org.molgenis.data.populate,EntityPopulator,0,22,0,0,0,7,0,2,0,2
data,org.molgenis.data.populate,IdGeneratorImpl.Holder,0,9,0,0,0,2,0,1,0,1
data,org.molgenis.data.populate,AutoValuePopulator.new Object() {...},2,17,0,0,0,1,0,1,0,1
data,org.molgenis.data.populate,DefaultValuePopulator.new Object() {...},145,0,0,0,1,0,1,0,1,0
data,org.molgenis.data.populate,AutoValuePopulator,5,110,5,16,1,25,5,10,0,4
data,org.molgenis.data.meta,MetaUtils,25,40,3,5,4,11,4,4,2,2
data,org.molgenis.data.meta,MetaDataService,0,13,0,2,0,3,0,2,0,1
data,org.molgenis.data.meta,EntityTypeRepositoryDecorator.AttributeTreeTraverser,0,3,0,0,0,1,0,1,0,1
data,org.molgenis.data.meta,DefaultPackage,14,0,0,0,5,0,2,0,2,0
data,org.molgenis.data.meta,EntityTypeDependencyResolver,9,238,1,25,2,60,1,24,0,12
data,org.molgenis.data.meta,AttributeRepositoryDecorator,13,50,0,0,4,13,2,5,2,5
data,org.molgenis.data.meta,MetaDataServiceImpl,275,670,25,53,57,153,26,64,12,39
data,org.molgenis.data.meta,MetaDataServiceImpl.EntityTypeWithoutMappedByAttributes,372,86,21,5,80,21,76,17,65,15
data,org.molgenis.data.meta,EntityTypeRepositoryDecorator,59,306,4,8,17,72,10,26,7,23
data,org.molgenis.data.meta,UploadPackage,24,0,0,0,7,0,2,0,2,0
data,org.molgenis.data.meta,EntityTypeDependencyResolver.EntityTypeNode,2,74,2,6,0,19,2,10,0,8
data,org.molgenis.data.meta,SystemEntityType,55,80,5,1,11,22,9,7,6,7
data,org.molgenis.data.meta,PackageRepositoryDecorator,80,0,0,0,23,0,11,0,11,0
data,org.molgenis.data.meta,AttributeType,3,279,0,2,1,18,1,8,1,7
data,org.molgenis.data.meta,PackageRepositoryDecorator.PackageTreeTraverser,3,0,0,0,1,0,1,0,1,0
data,org.molgenis.data.meta,AbstractMetadataIdGenerator,3,7,0,0,1,1,1,1,1,1
data,org.molgenis.data.meta,SystemPackage,3,11,0,0,2,3,1,1,1,1
data,org.molgenis.data.event,BootstrappingEvent.BootstrappingStatus,0,24,0,0,0,2,0,1,0,1
data,org.molgenis.data.event,BootstrappingEventPublisher,22,0,0,0,7,0,3,0,3,0
data,org.molgenis.data.event,BootstrappingEvent,0,9,0,0,0,4,0,2,0,2
data,org.molgenis.data.meta.model,Package,216,42,27,3,43,15,29,8,15,7
data,org.molgenis.data.meta.model,Tag,195,0,24,0,49,0,30,0,18,0
data,org.molgenis.data.meta.model,MetaPackage,14,10,0,0,4,3,1,1,1,1
data,org.molgenis.data.meta.model,EntityType.AttributeRole,0,34,0,0,0,2,0,1,0,1
data,org.molgenis.data.meta.model,AttributeMetadata,0,885,0,4,0,152,0,18,0,16
data,org.molgenis.data.meta.model,EntityType.AttributeCopyMode,0,24,0,0,0,2,0,1,0,1
data,org.molgenis.data.meta.model,EntityType,359,615,44,50,65,153,62,67,31,50
data,org.molgenis.data.meta.model,TagMetadata,0,90,0,0,0,12,0,2,0,2
data,org.molgenis.data.meta.model,EntityTypeMetadata,6,221,0,0,2,48,1,7,1,7
