GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorConfigMeta,70,0,0,0,16,0,2,0,2,0
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorEntityConfig,19,0,0,0,7,0,4,0,4,0
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorConfigFactory,6,0,0,0,2,0,1,0,1,0
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorConfigEntityFactory,6,0,0,0,2,0,1,0,1,0
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorConfig,25,0,0,0,9,0,6,0,6,0
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorEntityConfigMeta,127,0,0,0,33,0,2,0,2,0
dataexplorer,org.molgenis.dataexplorer.negotiator.config,NegotiatorPackage,20,0,0,0,6,0,2,0,2,0
dataexplorer,org.molgenis.dataexplorer.negotiator,AutoValue_NegotiatorQuery,102,70,14,10,16,20,14,6,2,6
dataexplorer,org.molgenis.dataexplorer.negotiator,AutoValue_Collection,104,0,16,0,22,0,14,0,6,0
dataexplorer,org.molgenis.dataexplorer.negotiator,ExportValidationResponse,0,19,0,0,0,3,0,3,0,3
dataexplorer,org.molgenis.dataexplorer.negotiator,Collection,9,0,0,0,2,0,2,0,2,0
dataexplorer,org.molgenis.dataexplorer.negotiator,AutoValue_NegotiatorRequest,133,73,24,4,26,17,16,7,2,7
dataexplorer,org.molgenis.dataexplorer.negotiator,NegotiatorController,115,374,13,17,21,71,12,23,5,15
dataexplorer,org.molgenis.dataexplorer.negotiator,NegotiatorRequest,0,12,0,0,0,2,0,2,0,2
dataexplorer,org.molgenis.dataexplorer.negotiator,NegotiatorQuery,0,11,0,0,0,2,0,2,0,2
dataexplorer,org.molgenis.dataexplorer.negotiator,AutoValue_ExportValidationResponse,94,68,11,9,16,20,12,6,2,6
dataexplorer,org.molgenis.dataexplorer.download,DataExplorerDownloadHandler,16,200,3,8,3,44,3,14,0,10
dataexplorer,org.molgenis.dataexplorer.download,DataExplorerDownloadHandler.new Object() {...},4,33,0,0,0,2,0,1,0,1
dataexplorer,org.molgenis.dataexplorer.controller,AutoValue_NavigatorLink,43,61,10,6,9,13,9,5,1,5
dataexplorer,org.molgenis.dataexplorer.controller,ModuleConfig,42,0,6,0,11,0,7,0,4,0
dataexplorer,org.molgenis.dataexplorer.controller,DataRequest.EntityValues,0,24,0,0,0,2,0,1,0,1
dataexplorer,org.molgenis.dataexplorer.controller,NavigatorLink,0,9,0,0,0,2,0,2,0,2
dataexplorer,org.molgenis.dataexplorer.controller,AnnotatorController,299,0,14,0,60,0,18,0,11,0
dataexplorer,org.molgenis.dataexplorer.controller,DataRequest.DownloadType,0,24,0,0,0,2,0,1,0,1
dataexplorer,org.molgenis.dataexplorer.controller,DataExplorerController,477,439,64,27,87,77,45,21,5,14
dataexplorer,org.molgenis.dataexplorer.controller,ModulesConfigResponse,14,0,0,0,5,0,2,0,2,0
dataexplorer,org.molgenis.dataexplorer.controller,AnnotationJobFactory,93,0,0,0,19,0,2,0,2,0
dataexplorer,org.molgenis.dataexplorer.controller,DataRequest.ColNames,0,24,0,0,0,2,0,1,0,1
dataexplorer,org.molgenis.dataexplorer.controller,DataExplorerController.new Object() {...},19,0,0,0,1,0,1,0,1,0
dataexplorer,org.molgenis.dataexplorer.controller,AnnotationJob,1,186,1,5,1,35,1,6,0,4
dataexplorer,org.molgenis.dataexplorer.controller,DataRequest,7,38,0,0,3,16,2,11,2,11
dataexplorer,org.molgenis.dataexplorer.settings,DataExplorerSettings,316,0,14,0,77,0,50,0,43,0
dataexplorer,org.molgenis.dataexplorer.settings,DataExplorerSettings.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
dataexplorer,org.molgenis.dataexplorer.settings,DataExplorerSettings.Meta,455,0,0,0,137,0,7,0,7,0
