GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
i18n,org.molgenis.i18n.properties,AllPropertiesMessageSource,0,106,0,4,0,23,0,10,0,8
i18n,org.molgenis.i18n,PropertiesMessageSource,0,11,0,0,0,4,0,2,0,2
i18n,org.molgenis.i18n,LocalizationMessageSource,2,97,1,1,1,23,1,7,0,7
i18n,org.molgenis.i18n,I18nConfig,7,0,0,0,2,0,2,0,2,0
i18n,org.molgenis.i18n,I18nUtils,0,19,0,2,0,3,0,3,0,2
i18n,org.molgenis.i18n,MessageSourceHolder,5,0,0,0,3,0,2,0,2,0
i18n,org.molgenis.i18n,LanguageService,28,39,0,0,6,2,5,2,5,2
i18n,org.molgenis.i18n,CodedRuntimeException,44,0,0,0,12,0,4,0,4,0
i18n,org.molgenis.i18n.format,LabelFormatFactory.LabelFormat,4,21,0,2,1,6,1,3,1,2
i18n,org.molgenis.i18n.format,LabelFormatFactory,0,10,0,0,0,2,0,2,0,2
i18n,org.molgenis.i18n.format,IdFormatFactory.IdFormat,4,16,0,2,1,4,1,3,1,2
i18n,org.molgenis.i18n.format,IdFormatFactory,0,10,0,0,0,3,0,3,0,3
i18n,org.molgenis.i18n.format,MessageFormatFactory,1,25,1,1,0,3,1,2,0,2
