GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jobs,org.molgenis.jobs,JobFactoryRegistry,0,25,0,0,0,6,0,3,0,3
jobs,org.molgenis.jobs,JobExecutor,21,226,0,0,6,52,0,12,0,12
jobs,org.molgenis.jobs,JobExecutionUpdaterImpl,53,0,0,0,14,0,7,0,7,0
jobs,org.molgenis.jobs,TransactionalJob,0,34,0,0,0,7,0,2,0,2
jobs,org.molgenis.jobs,JobConfig,7,0,0,0,2,0,2,0,2,0
jobs,org.molgenis.jobs,JobExecutor.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
jobs,org.molgenis.jobs,JobBootstrapper,1,148,2,4,0,38,2,8,0,7
jobs,org.molgenis.jobs,ProgressImpl,10,299,1,3,4,80,3,14,2,13
jobs,org.molgenis.jobs,JobExecutionConfig,20,11,0,0,1,2,1,2,1,2
jobs,org.molgenis.jobs,JobExecutionException,0,4,0,0,0,2,0,1,0,1
jobs,org.molgenis.jobs,NontransactionalJob,9,18,0,0,1,5,1,1,1,1
jobs,org.molgenis.jobs,JobExecutionTemplate,7,97,0,0,2,24,0,10,0,10
jobs,org.molgenis.jobs,JobFactory,0,3,0,0,0,1,0,1,0,1
jobs,org.molgenis.jobs,JobFactoryRegistrar,0,26,0,0,0,9,0,3,0,3
jobs,org.molgenis.jobs,JobExecutionContext,0,16,0,0,0,6,0,4,0,4
jobs,org.molgenis.jobs.scheduler,AutowiringSpringBeanJobFactory,18,0,0,0,6,0,3,0,3,0
jobs,org.molgenis.jobs.scheduler,SchedulerConfig,23,0,0,0,8,0,2,0,2,0
jobs,org.molgenis.jobs.model,JobExecution.Status,0,54,0,0,0,2,0,1,0,1
jobs,org.molgenis.jobs.model,ScheduledJobTypeMetadata,0,90,0,0,0,12,0,2,0,2
jobs,org.molgenis.jobs.model,JobExecutionMetaData,0,246,0,0,0,39,0,2,0,2
jobs,org.molgenis.jobs.model,JobPackage,56,10,8,0,12,3,7,1,3,1
jobs,org.molgenis.jobs.model,ScheduledJob,55,26,4,0,15,9,12,6,10,6
jobs,org.molgenis.jobs.model,ScheduledJobFactory,0,6,0,0,0,2,0,1,0,1
jobs,org.molgenis.jobs.model,ScheduledJobMetadata,0,190,0,0,0,31,0,3,0,3
jobs,org.molgenis.jobs.model,JobExecution,66,180,1,7,20,49,13,26,12,23
jobs,org.molgenis.jobs.model,ScheduledJobTypeFactory,0,6,0,0,0,2,0,1,0,1
jobs,org.molgenis.jobs.model,JobExecutionLogAppender,0,37,0,0,0,13,0,4,0,4
jobs,org.molgenis.jobs.model,ScheduledJobType,62,0,0,0,22,0,13,0,13,0
jobs,org.molgenis.jobs.schedule,JobScheduler,51,175,0,10,12,44,1,12,1,7
jobs,org.molgenis.jobs.schedule,ScheduledJobRepositoryDecorator,113,65,6,0,33,22,13,6,10,6
jobs,org.molgenis.jobs.schedule,MolgenisQuartzJob,17,0,0,0,5,0,3,0,3,0
jobs,org.molgenis.jobs.schedule,ScheduledJobException,23,0,0,0,10,0,5,0,5,0
jobs,org.molgenis.jobs.schedule,ScheduledJobRepositoryDecoratorFactory,21,0,0,0,5,0,2,0,2,0
