GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ontology-core,org.molgenis.ontology.core.model,AutoValue_Ontology,54,79,8,8,13,18,9,6,1,6
ontology-core,org.molgenis.ontology.core.model,Ontology,0,10,0,0,0,2,0,2,0,2
ontology-core,org.molgenis.ontology.core.model,AutoValue_OntologyTerm,75,97,14,10,15,21,13,7,1,7
ontology-core,org.molgenis.ontology.core.model,OntologyTerm,11,68,2,4,2,9,3,6,1,5
ontology-core,org.molgenis.ontology.core.model,OntologyPackage,10,10,0,0,3,3,1,1,1,1
ontology-core,org.molgenis.ontology.core,OntologyDataConfig,9,0,0,0,4,0,2,0,2,0
ontology-core,org.molgenis.ontology.core.repository,OntologyRepository,2,32,1,1,1,5,1,4,0,4
ontology-core,org.molgenis.ontology.core.repository,OntologyTermRepository,218,347,16,24,41,59,22,23,11,14
ontology-core,org.molgenis.ontology.core.importer,OntologyImportService,198,0,20,0,46,0,20,0,10,0
ontology-core,org.molgenis.ontology.core.ic,TermFrequencyMetaData,58,0,0,0,10,0,2,0,2,0
ontology-core,org.molgenis.ontology.core.ic,PubMedTFEntity,3,12,0,0,1,5,1,2,1,2
ontology-core,org.molgenis.ontology.core.ic,OntologyTermFrequencyServiceImpl,183,0,16,0,42,0,15,0,7,0
ontology-core,org.molgenis.ontology.core.ic,PubMedTermFrequencyService,90,44,3,5,22,12,4,5,2,3
ontology-core,org.molgenis.ontology.core.importer.repository,OntologyRepositoryCollection,505,0,16,0,98,0,26,0,18,0
ontology-core,org.molgenis.ontology.core.importer.repository,OntologyFileExtensions,43,0,0,0,7,0,4,0,4,0
ontology-core,org.molgenis.ontology.core.importer.repository,OntologyRepositoryCollection.new TreeTraverser() {...},45,0,2,0,8,0,3,0,2,0
ontology-core,org.molgenis.ontology.core.service.impl,OntologyServiceImpl,97,0,8,0,19,0,15,0,11,0
ontology-core,org.molgenis.ontology.core.utils,OWLClassContainer,21,0,0,0,8,0,4,0,4,0
ontology-core,org.molgenis.ontology.core.utils,OntologyLoader,872,0,74,0,159,0,68,0,31,0
ontology-core,org.molgenis.ontology.core.meta,OntologyMetaData,0,52,0,0,0,9,0,2,0,2
ontology-core,org.molgenis.ontology.core.meta,OntologyFactory,0,6,0,0,0,2,0,1,0,1
ontology-core,org.molgenis.ontology.core.meta,OntologyTerm,83,0,0,0,28,0,17,0,17,0
ontology-core,org.molgenis.ontology.core.meta,Ontology,42,0,0,0,16,0,9,0,9,0
ontology-core,org.molgenis.ontology.core.meta,OntologyTermMetaData,0,126,0,0,0,23,0,2,0,2
ontology-core,org.molgenis.ontology.core.meta,OntologyTermFactory,0,6,0,0,0,2,0,1,0,1
ontology-core,org.molgenis.ontology.core.meta,OntologyTermNodePathMetaData,0,57,0,0,0,10,0,3,0,3
ontology-core,org.molgenis.ontology.core.meta,OntologyTermNodePath,50,0,2,0,17,0,10,0,9,0
ontology-core,org.molgenis.ontology.core.meta,OntologyTermSynonymFactory,0,6,0,0,0,2,0,1,0,1
ontology-core,org.molgenis.ontology.core.meta,OntologyTermNodePathFactory,0,6,0,0,0,2,0,1,0,1
ontology-core,org.molgenis.ontology.core.meta,OntologyTermDynamicAnnotationMetaData,0,60,0,0,0,10,0,2,0,2
ontology-core,org.molgenis.ontology.core.meta,OntologyTermSynonym,33,0,0,0,13,0,7,0,7,0
ontology-core,org.molgenis.ontology.core.meta,OntologyTermDynamicAnnotationFactory,0,6,0,0,0,2,0,1,0,1
ontology-core,org.molgenis.ontology.core.meta,OntologyTermDynamicAnnotation,51,0,0,0,19,0,11,0,11,0
ontology-core,org.molgenis.ontology.core.meta,OntologyTermSynonymMetaData,0,63,0,0,0,11,0,3,0,3
ontology-core,org.molgenis.ontology.core.config,OntologyConfig,27,0,0,0,5,0,5,0,5,0
