GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ontology,org.molgenis.ontology.utils,SortaServiceUtil,100,0,14,0,23,0,10,0,3,0
ontology,org.molgenis.ontology.sorta.job,SortaJobImpl,16,0,0,0,5,0,2,0,2,0
ontology,org.molgenis.ontology.sorta.job,SortaJobExecution,77,0,0,0,28,0,16,0,16,0
ontology,org.molgenis.ontology.sorta.job,SortaJobFactory,58,0,0,0,9,0,2,0,2,0
ontology,org.molgenis.ontology.sorta.job,SortaJobProcessor,253,0,8,0,44,0,8,0,4,0
ontology,org.molgenis.ontology.sorta.job,SortaJobProcessor.new DynamicEntity() {...},8,0,0,0,2,0,2,0,2,0
ontology,org.molgenis.ontology.sorta.job,SortaJobExecutionFactory,6,0,0,0,2,0,1,0,1,0
ontology,org.molgenis.ontology.roc,InformationContentService,7,228,4,12,2,57,4,10,0,6
ontology,org.molgenis.ontology.roc,InformationContentService.new CacheLoader() {...},3,33,1,1,1,7,1,2,0,2
ontology,org.molgenis.ontology.roc,InformationContentService.new CacheLoader() {...},5,108,2,2,1,21,2,2,0,2
ontology,org.molgenis.ontology.roc,OntologyWord,24,76,13,9,2,20,11,5,0,5
ontology,org.molgenis.ontology.sorta.bean,OntologyTermHitEntity,17,27,5,3,2,9,5,3,1,3
ontology,org.molgenis.ontology.controller,OntologyManagerController,28,0,0,0,7,0,4,0,4,0
ontology,org.molgenis.ontology.sorta.controller,SortaController,1417,0,66,0,258,0,76,0,43,0
ontology,org.molgenis.ontology.sorta.request,SortaServiceRequest,33,0,0,0,12,0,6,0,6,0
ontology,org.molgenis.ontology.sorta.request,SortaServiceResponse,39,0,0,0,14,0,7,0,7,0
ontology,org.molgenis.ontology.sorta.repo,SortaCsvRepository.new Iterator() {...},47,0,2,0,9,0,4,0,3,0
ontology,org.molgenis.ontology.sorta.repo,SortaCsvRepository,149,0,4,0,28,0,9,0,7,0
ontology,org.molgenis.ontology.initializer,OntologyScriptInitializerImpl,162,0,8,0,38,0,7,0,3,0
ontology,org.molgenis.ontology.sorta.meta,SortaJobExecutionMetaData,90,0,0,0,14,0,2,0,2,0
ontology,org.molgenis.ontology.sorta.meta,MatchingTaskContentMetaData,68,0,0,0,13,0,2,0,2,0
ontology,org.molgenis.ontology.sorta.meta,OntologyTermHitMetaData,0,142,0,0,0,25,0,2,0,2
ontology,org.molgenis.ontology.sorta.service.impl,SortaServiceImpl,55,797,24,46,8,149,24,35,2,22
ontology,org.molgenis.ontology,SortaConfig,31,0,0,0,6,0,4,0,4,0
