GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
security,org.molgenis.security.twofactor,TwoFactorAuthenticationController,48,127,5,3,12,36,3,8,0,7
security,org.molgenis.security.permission,UserPermissionEvaluatorImpl,27,56,1,5,4,13,5,5,4,3
security,org.molgenis.security.permission,PrincipalSecurityContextRegistryImpl,0,93,2,10,0,26,2,10,0,6
security,org.molgenis.security.permission,AuthenticationAuthoritiesUpdaterImpl.RunAsUserTokenDecorator,11,14,0,0,3,4,3,1,3,1
security,org.molgenis.security.permission,SecurityContextRegistryImpl,0,93,0,6,0,25,0,9,0,6
security,org.molgenis.security.permission,MolgenisPermissionController,0,52,2,6,0,7,2,5,0,3
security,org.molgenis.security.permission,PermissionSystemServiceImpl,0,51,0,0,0,12,0,5,0,5
security,org.molgenis.security.permission,Permissions,11,0,0,0,2,0,2,0,2,0
security,org.molgenis.security.permission,AutoValue_Permissions,99,0,12,0,24,0,12,0,6,0
security,org.molgenis.security.permission,Permission,117,0,20,0,23,0,18,0,8,0
security,org.molgenis.security.permission,AuthenticationAuthoritiesUpdaterImpl.AnonymousAuthenticationTokenDecorator,7,14,0,0,2,4,2,2,2,2
security,org.molgenis.security.permission,AuthenticationAuthoritiesUpdaterImpl,0,122,0,14,0,33,0,9,0,2
security,org.molgenis.security.token,TokenAuthenticationProvider,5,51,2,2,1,13,2,3,0,3
security,org.molgenis.security.token,TokenAuthenticationFilter,1,47,4,4,1,14,4,2,0,2
security,org.molgenis.security.token,TokenExtractor,4,62,0,4,1,9,1,7,1,5
security,org.molgenis.security.token,RunAsUserTokenFactory,0,24,0,0,0,6,0,2,0,2
security,org.molgenis.security.token,RestAuthenticationToken,0,20,0,0,0,7,0,3,0,3
security,org.molgenis.security.token,DataServiceTokenService,12,111,2,4,1,25,2,6,0,5
security,org.molgenis.security.token,TokenGenerator,0,9,0,0,0,2,0,2,0,2
security,org.molgenis.security.login,MolgenisLoginController,42,28,11,1,13,9,7,4,1,4
security,org.molgenis.security.google,GoogleAuthenticationProcessingFilter,246,64,27,3,55,14,18,4,4,3
security,org.molgenis.security.group,GroupRestController,5,63,0,0,0,17,1,4,1,4
security,org.springframework.security.acls.jdbc,AclConfig,165,0,0,0,35,0,11,0,11,0
security,org.molgenis.security.acl,MutableAclClassServiceImpl,0,118,0,2,0,23,0,9,0,8
security,org.molgenis.security.acl,BitMaskPermissionGrantingStrategy,111,8,26,2,30,1,15,2,2,1
security,org.molgenis.security.acl,DataSourceAclTablesPopulator,77,0,0,0,21,0,4,0,4,0
security,org.molgenis.security.acl,AclCacheTransactionListener,0,20,0,0,0,7,0,2,0,2
security,org.molgenis.security.acl,TransactionalJdbcMutableAclService,41,0,0,0,11,0,9,0,9,0
security,org.molgenis.security.twofactor.auth,TwoFactorAuthenticationProviderImpl,5,119,3,9,1,33,3,7,0,4
security,org.molgenis.security.twofactor.auth,RecoveryAuthenticationProviderImpl,5,52,1,3,1,16,1,4,0,3
security,org.molgenis.security.twofactor.auth,RecoveryAuthenticationToken,21,43,4,4,1,12,5,4,1,4
security,org.molgenis.security.twofactor.auth,TwoFactorAuthenticationToken,0,29,0,0,0,10,0,4,0,4
security,org.molgenis.security.twofactor.auth,TwoFactorAuthenticationFilter,15,132,11,21,3,32,10,15,0,9
security,org.molgenis.security.twofactor.auth,TwoFactorAuthenticationSetting,7,45,0,0,2,5,2,2,2,2
security,org.molgenis.security.twofactor.exceptions,TooManyLoginAttemptsException,0,4,0,0,0,2,0,1,0,1
security,org.molgenis.security.twofactor.exceptions,InvalidVerificationCodeException,0,4,0,0,0,2,0,1,0,1
security,org.molgenis.security.account,AccountServiceImpl,94,375,11,11,13,75,9,11,0,9
security,org.molgenis.security.account,UsernameAlreadyExistsException,23,0,0,0,10,0,5,0,5,0
security,org.molgenis.security.account,ChangePasswordForm,17,0,0,0,7,0,5,0,5,0
security,org.molgenis.security.account,PasswordResetRequest,0,10,0,0,0,4,0,3,0,3
