GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
semantic-mapper,org.molgenis.semanticmapper.utils,UnitHelper,3,104,0,0,1,22,1,2,1,2
semantic-mapper,org.molgenis.semanticmapper.utils,AlgorithmGeneratorHelper,5,39,1,3,2,10,2,3,1,2
semantic-mapper,org.molgenis.semanticmapper.utils,MagmaUnitConverter,12,131,6,18,3,31,6,10,0,4
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.categorymapper,FrequencyCategoryMapper,36,182,15,27,5,41,13,17,2,7
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.categorymapper,CategoryMapperUtil,31,347,3,21,8,58,5,19,3,9
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.categorymapper,CategoryMapper,0,6,0,0,0,3,0,1,0,1
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.categorymapper,LexicalCategoryMapper,0,102,2,12,0,29,2,10,0,5
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.rules.quality,Quality,0,3,0,0,0,1,0,1,0,1
semantic-mapper,org.molgenis.semanticmapper.mapping.model,CategoryMapping,6,190,1,9,2,30,2,11,1,7
semantic-mapper,org.molgenis.semanticmapper.mapping.model,AlgorithmResult,24,0,2,0,4,0,5,0,4,0
semantic-mapper,org.molgenis.semanticmapper.mapping.model,AutoValue_AlgorithmResult,143,0,24,0,27,0,19,0,7,0
semantic-mapper,org.molgenis.semanticmapper.mapping.model,AttributeMapping.AlgorithmState,0,70,0,0,0,6,0,3,0,3
semantic-mapper,org.molgenis.semanticmapper.mapping.model,AutoValue_CategoryMapping,132,103,20,16,19,25,18,10,2,8
semantic-mapper,org.molgenis.semanticmapper.mapping.model,AttributeMapping,106,201,30,18,11,50,23,17,1,15
semantic-mapper,org.molgenis.semanticmapper.mapping.model,MappingTarget,105,171,19,15,18,39,18,16,4,13
semantic-mapper,org.molgenis.semanticmapper.mapping.model,MappingProject,82,162,20,16,13,38,18,13,3,10
semantic-mapper,org.molgenis.semanticmapper.mapping.model,EntityMapping,145,206,29,21,24,48,27,17,6,13
semantic-mapper,org.molgenis.semanticmapper.mapping.model,CategoryMapping.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
semantic-mapper,org.molgenis.semanticmapper.mapping.model,CategoryMapping.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.rules,CategoryMatchQuality,0,17,0,0,0,3,0,3,0,3
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.rules,AutoValue_CategoryMatchQuality,139,28,22,2,23,11,16,4,4,4
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.rules.quality.impl,NumericQuality,0,18,0,0,0,3,0,3,0,3
semantic-mapper,org.molgenis.semanticmapper.algorithmgenerator.rules.quality.impl,AutoValue_NumericQuality,50,11,5,1,12,5,6,2,3,2
semantic-mapper,org.molgenis.semanticmapper.controller,TagWizardController,179,0,6,0,40,0,13,0,10,0
semantic-mapper,org.molgenis.semanticmapper.controller,MappingServiceController.AttributeMappingValidationReport,27,0,0,0,10,0,5,0,5,0
semantic-mapper,org.molgenis.semanticmapper.controller,FirstAttributeMappingInfo,0,11,0,0,0,2,0,2,0,2
semantic-mapper,org.molgenis.semanticmapper.controller,AutoValue_FirstAttributeMappingInfo,144,23,16,4,28,10,17,1,7,1
semantic-mapper,org.molgenis.semanticmapper.controller,MappingServiceController,1233,497,45,31,252,102,52,30,27,17
semantic-mapper,org.molgenis.semanticmapper.service.impl,UnitResolverImpl,14,248,8,26,4,61,8,19,0,10
semantic-mapper,org.molgenis.semanticmapper.service.impl,AlgorithmException,0,4,0,0,0,2,0,1,0,1
semantic-mapper,org.molgenis.semanticmapper.service.impl,AlgorithmServiceImpl,313,241,39,4,69,48,31,11,5,11
semantic-mapper,org.molgenis.semanticmapper.service.impl,AlgorithmServiceImpl.new Object() {...},20,125,0,0,0,1,0,1,0,1
semantic-mapper,org.molgenis.semanticmapper.service.impl,AlgorithmTemplate,52,103,15,9,7,20,12,5,1,4
semantic-mapper,org.molgenis.semanticmapper.service.impl,AlgorithmEvaluation,33,14,4,0,10,6,9,3,7,3
semantic-mapper,org.molgenis.semanticmapper.service.impl,MappingServiceImpl,46,685,7,33,8,139,9,43,2,30
semantic-mapper,org.molgenis.semanticmapper.service.impl,AlgorithmTemplateServiceImpl,5,117,3,5,2,25,3,9,0,8
semantic-mapper,org.molgenis.semanticmapper.job,MappingJobExecutionFactory,6,0,0,0,2,0,1,0,1,0
semantic-mapper,org.molgenis.semanticmapper.job,MappingJobExecution,67,0,0,0,24,0,13,0,13,0
semantic-mapper,org.molgenis.semanticmapper.job,MappingJobConfig,92,0,0,0,19,0,3,0,3,0
semantic-mapper,org.molgenis.semanticmapper.job,MappingJobExecutionMetadata,96,0,0,0,22,0,2,0,2,0
semantic-mapper,org.molgenis.semanticmapper.job,MappingJobConfig.new JobFactory() {...},60,0,0,0,10,0,3,0,3,0
semantic-mapper,org.molgenis.semanticmapper.config,MappingConfig,0,89,0,0,0,10,0,10,0,10
semantic-mapper,org.molgenis.semanticmapper.repository.impl,EntityMappingRepositoryImpl,33,119,2,2,9,29,2,7,0,7
semantic-mapper,org.molgenis.semanticmapper.repository.impl,MappingProjectRepositoryImpl,14,171,3,5,4,38,3,12,0,11
semantic-mapper,org.molgenis.semanticmapper.repository.impl,AttributeMappingRepositoryImpl,0,190,1,7,0,45,1,11,0,8
semantic-mapper,org.molgenis.semanticmapper.repository.impl,MappingTargetRepositoryImpl,2,129,2,4,1,27,2,7,0,6
semantic-mapper,org.molgenis.semanticmapper.meta,MappingProjectMetaData,0,57,0,0,0,10,0,2,0,2
semantic-mapper,org.molgenis.semanticmapper.meta,EntityMappingMetaData,0,61,0,0,0,13,0,2,0,2
semantic-mapper,org.molgenis.semanticmapper.meta,AttributeMappingMetaData,0,73,0,0,0,12,0,2,0,2
