GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
semantic-search,org.molgenis.semanticsearch.explain.bean,ExplainedQueryString,0,11,0,0,0,2,0,2,0,2
semantic-search,org.molgenis.semanticsearch.explain.bean,ExplainedAttribute,7,68,1,1,1,12,1,4,0,4
semantic-search,org.molgenis.semanticsearch.explain.bean,AutoValue_ExplainedAttribute,90,38,14,2,21,8,13,2,5,2
semantic-search,org.molgenis.semanticsearch.explain.bean,AutoValue_ExplainedQueryString,85,85,15,3,13,23,11,6,2,6
semantic-search,org.molgenis.semanticsearch.explain.service,ElasticSearchExplainServiceImpl,20,74,5,3,6,18,4,4,1,3
semantic-search,org.molgenis.semanticsearch.explain.service,ExplainServiceHelper.Options,0,59,0,0,0,9,0,3,0,3
semantic-search,org.molgenis.semanticsearch.explain.service,ExplainServiceHelper,19,203,4,16,2,43,5,17,1,11
semantic-search,org.molgenis.semanticsearch.config,SemanticSearchConfig,71,0,0,0,9,0,8,0,8,0
semantic-search,org.molgenis.semanticsearch.repository,TagRepository,0,80,0,2,0,22,0,3,0,2
semantic-search,org.molgenis.semanticsearch.semantic,Hit,0,24,0,0,0,4,0,4,0,4
semantic-search,org.molgenis.semanticsearch.semantic,OntologyTag,10,0,0,0,2,0,2,0,2,0
semantic-search,org.molgenis.semanticsearch.semantic,AutoValue_OntologyTag,99,0,12,0,24,0,12,0,6,0
semantic-search,org.molgenis.semanticsearch.semantic,AutoValue_Hit,50,40,5,5,10,12,7,4,2,4
semantic-search,org.molgenis.semanticsearch.service.impl,OntologyTagServiceImpl,258,369,22,22,48,82,24,21,8,15
semantic-search,org.molgenis.semanticsearch.service.impl,SemanticSearchServiceImpl,249,516,41,39,50,104,30,32,3,19
semantic-search,org.molgenis.semanticsearch.service.impl,UntypedTagService,357,0,22,0,72,0,25,0,14,0
semantic-search,org.molgenis.semanticsearch.service.impl,SemanticSearchServiceHelper,143,402,17,17,21,81,18,27,6,22
semantic-search,org.molgenis.semanticsearch.string,NGramDistanceAlgorithm,19,903,3,19,4,38,5,13,2,5
semantic-search,org.molgenis.semanticsearch.string,Stemmer,0,78,0,6,0,15,0,8,0,5
