GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
web,org.molgenis.web.i18n,MolgenisLocaleResolver,0,130,0,4,0,25,0,14,0,12
web,org.molgenis.web.converter,AutoValueTypeAdapterFactory,20,0,2,0,6,0,3,0,2,0
web,org.molgenis.web.converter,GsonConfig,56,0,6,0,12,0,6,0,3,0
web,org.molgenis.web.converter,BaseHttpMessageConverter,29,0,6,0,10,0,8,0,5,0
web,org.molgenis.web.converter,MolgenisGsonHttpMessageConverter,6,4,0,0,2,2,1,1,1,1
web,org.molgenis.web.converter,GsonFactoryBean,138,0,18,0,43,0,21,0,12,0
web,org.molgenis.web.converter,CsvHttpMessageConverter,44,0,0,0,11,0,4,0,4,0
web,org.molgenis.web.rsql,RSQLValueParser,79,26,8,4,16,7,10,4,2,2
web,org.molgenis.web.rsql,MolgenisRSQLVisitor,211,267,19,18,31,63,16,16,1,6
web,org.molgenis.web.rsql,AggregateQueryRsqlVisitor,178,0,16,0,39,0,14,0,5,0
web,org.molgenis.web.rsql,AggregateQueryRsql,20,0,0,0,5,0,2,0,2,0
web,org.molgenis.web.rsql,QueryRsql,17,0,0,0,5,0,2,0,2,0
web,org.molgenis.web.rsql,RSQLValueParser.new Object() {...},20,125,0,0,0,1,0,1,0,1
web,org.molgenis.web.rsql,MolgenisRSQLVisitor.new Object() {...},5,35,0,0,0,1,0,1,0,1
web,org.molgenis.web.rsql,MolgenisRSQL,0,23,0,0,0,6,0,2,0,2
web,org.molgenis.web.bootstrap,PluginPopulator,0,95,2,4,0,24,2,6,0,5
web,org.molgenis.web,ErrorMessageResponse,35,87,5,11,2,23,7,12,2,9
web,org.molgenis.web,UiMenuItemType,24,0,0,0,2,0,1,0,1,0
web,org.molgenis.web,WebL10nConfig,8,0,0,0,2,0,2,0,2,0
web,org.molgenis.web,ErrorMessageResponse.ErrorMessage,24,68,5,7,3,11,8,5,3,4
web,org.molgenis.web,PluginInterceptor,45,127,6,12,6,35,6,8,0,5
web,org.molgenis.web,PluginController,12,51,2,4,0,13,2,8,0,7
web,org.molgenis.web.support,EntitySerializer,74,107,10,5,18,23,10,6,0,4
web,org.molgenis.web.support,EntitySerializer.new Object() {...},20,125,0,0,0,1,0,1,0,1
web,org.molgenis.web.exception,FallbackExceptionHandler,19,0,0,0,4,0,3,0,3,0
web,org.molgenis.web.exception,GlobalControllerExceptionHandler,51,0,2,0,9,0,6,0,5,0
web,org.molgenis.web.exception,ExceptionHandlerUtils,14,226,6,18,1,38,6,16,1,9
web,org.molgenis.web.exception,SpringExceptionHandler,31,95,4,26,6,19,3,16,0,4
