GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownCommandException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,JsonifiableAdaptable.JsonFields,6,11,0,0,2,3,1,1,1,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutableAdaptableBuilder,0,33,0,0,0,10,0,5,0,5
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,Adaptable,0,3,0,0,0,1,0,1,0,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,MessageAdaptableHelper,64,285,9,21,8,68,10,23,2,16
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ProtocolFactory,75,121,2,2,12,31,12,13,10,12
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,DittoProtocolAdapter,408,191,49,15,86,47,52,13,25,8
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutableJsonifiableAdaptable,21,120,1,7,2,31,3,13,2,10
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownCommandException,16,16,0,0,5,3,2,2,2,2
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownCommandResponseException,16,16,0,0,5,3,2,2,2,2
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutablePayload,36,233,0,24,1,42,1,24,1,12
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownSignalException.Builder,31,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ThingQueryCommandResponseAdapter,5,280,1,7,1,68,1,19,0,16
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,Payload.JsonFields,6,26,0,0,2,5,1,1,1,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,MessageCommandAdapter,0,93,0,4,0,22,0,11,0,9
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,DittoProtocolAdapter.ProtocolAdapterErrorRegistry,0,58,0,0,0,13,0,3,0,3
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,TopicPath.Group,0,52,0,0,0,11,0,6,0,6
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ProtocolFactory.new Object() {...},4,29,0,0,0,1,0,1,0,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,Adapter,0,5,0,0,0,1,0,1,0,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutableTopicPathBuilder,15,180,2,6,5,51,4,23,2,21
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,TopicPath,0,11,0,0,0,3,0,3,0,3
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutableAdaptable,26,112,2,16,1,20,3,15,1,8
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownSignalException,32,0,0,0,8,0,4,0,4,0
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ThingEventAdapter,35,615,3,7,4,122,4,40,2,37
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ThingQueryCommandAdapter,15,369,1,7,1,81,3,23,2,20
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownTopicPathException.Builder,31,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,TopicPath.Channel,0,52,0,0,0,11,0,6,0,6
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,TopicPath.Action,0,107,0,0,0,16,0,6,0,6
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownEventException,16,16,0,0,5,3,2,2,2,2
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,TopicPath.Criterion,0,85,0,0,0,14,0,6,0,6
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ThingModifyCommandAdapter,0,432,0,6,0,83,0,32,0,29
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,Payload,2,3,0,0,1,1,1,1,1,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutableTopicPath,51,371,0,26,1,52,1,28,1,15
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutablePayloadBuilder,18,53,0,0,3,16,3,8,3,8
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownCommandResponseException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,MessageCommandResponseAdapter,0,126,0,6,0,30,0,13,0,10
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ImmutableTopicPathBuilder.EmptyTopicPath,33,4,6,0,10,1,13,1,10,1
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,AbstractAdapter.PathMatcher,11,140,0,0,2,30,2,3,2,3
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownEventException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,AbstractAdapter,111,330,5,5,5,92,23,34,19,33
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,ThingModifyCommandResponseAdapter,5,500,1,25,1,122,1,41,0,29
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownTopicPathException,39,0,0,0,9,0,5,0,5,0
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownPathException.Builder,32,0,0,0,7,0,3,0,3,0
Eclipse Ditto :: Protocol Adapter,org.eclipse.ditto.protocoladapter,UnknownPathException,32,0,0,0,8,0,4,0,4,0
