GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
puzzler-core,com.github.skapral.puzzler.core,IssueTracker,4,0,0,0,0,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core,PuzzleSource,4,0,0,0,0,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core,PuzzleSource.Inference,4,0,0,0,0,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core,Operation,4,0,0,0,0,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core.puzzle,PzlStatic,0,15,0,0,0,6,0,3,0,3
puzzler-core,com.github.skapral.puzzler.core.puzzle,AssertPuzzleHasCertainTitleAndDescription,0,29,0,0,0,8,0,2,0,2
puzzler-core,com.github.skapral.puzzler.core.puzzle,PzlUsingThreeParsText,45,0,4,0,11,0,7,0,5,0
puzzler-core,com.github.skapral.puzzler.core.text.threepars,TxtStatic,0,14,0,0,0,6,0,3,0,3
puzzler-core,com.github.skapral.puzzler.core.text.threepars,Paragraph.Type,0,47,0,0,0,4,0,2,0,2
puzzler-core,com.github.skapral.puzzler.core.text.threepars,TxtStandard,31,101,1,9,7,24,2,6,1,2
puzzler-core,com.github.skapral.puzzler.core.text.threepars,TwStatic,0,9,0,0,0,4,0,2,0,2
puzzler-core,com.github.skapral.puzzler.core.text.threepars,Text,4,0,0,0,0,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core.text.threepars,AssertTextInstanceProducesCertainParagraphs,0,45,0,0,0,11,0,4,0,4
puzzler-core,com.github.skapral.puzzler.core.text.threepars,ParStatic,0,15,0,0,0,6,0,3,0,3
puzzler-core,com.github.skapral.puzzler.core.text.threepars,TriggerWord,4,0,0,0,0,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core.source,AssertPuzzleSourceProducesCertainPuzzles,0,45,0,0,0,10,0,4,0,4
puzzler-core,com.github.skapral.puzzler.core.source,PsrcCombined,14,0,0,0,4,0,3,0,3,0
puzzler-core,com.github.skapral.puzzler.core.source,AssertPuzzleSourceProducesNoPuzzles,6,0,0,0,2,0,1,0,1,0
puzzler-core,com.github.skapral.puzzler.core.source,PsrcStatic,0,14,0,0,0,6,0,3,0,3
puzzler-core,com.github.skapral.puzzler.core.source,PsrcInferred,11,0,0,0,4,0,2,0,2,0
puzzler-core,com.github.skapral.puzzler.core.itracker,ItToList,12,0,0,0,5,0,2,0,2,0
puzzler-core,com.github.skapral.puzzler.core.operation,AssertOperationSuccessful,15,0,0,0,7,0,3,0,3,0
puzzler-core,com.github.skapral.puzzler.core.operation,OpDoNothing,4,0,0,0,2,0,2,0,2,0
puzzler-core,com.github.skapral.puzzler.core.operation,AssertOperationFails,16,0,0,0,7,0,3,0,3,0
puzzler-core,com.github.skapral.puzzler.core.operation,OpPersistAllPuzzles,20,0,0,0,6,0,2,0,2,0
