GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
redis-proxy-core,com.rains.proxy.core.config,RedisProxyMaster,21,27,0,0,9,11,6,7,6,7
redis-proxy-core,com.rains.proxy.core.config,RedisProxyConstant,3,0,0,0,1,0,1,0,1,0
redis-proxy-core,com.rains.proxy.core.config,RedisProxySlave,21,20,0,0,9,8,6,5,6,5
redis-proxy-core,com.rains.proxy.core.config,RedisProxyPoolConfig,21,108,0,0,9,44,6,25,6,25
redis-proxy-core,com.rains.proxy.core.config,RedisProxyConfiguration,0,17,0,0,0,7,0,5,0,5
redis-proxy-core,com.rains.proxy.core.config,RedisProxyGroupNode,23,10,0,0,10,4,7,3,7,3
redis-proxy-core,com.rains.proxy.core.bean.support,RedisServerBean,30,43,0,0,8,14,5,7,5,7
redis-proxy-core,com.rains.proxy.core.bean.support,RedisServerClusterBean,7,17,0,0,3,8,2,5,2,5
redis-proxy-core,com.rains.proxy.core.algorithm.impl.support,SafeEncoder,36,6,3,1,10,2,5,1,3,1
redis-proxy-core,com.rains.proxy.core.command.impl,RedisCommand,3,121,1,5,1,34,1,14,0,12
redis-proxy-core,com.rains.proxy.core.command.impl,RedisRequestPolicy,1,36,1,3,0,10,1,6,0,5
redis-proxy-core,com.rains.proxy.core.command.impl,CommandParse,10,1704,1,1,1,173,2,2,1,2
redis-proxy-core,com.rains.proxy.core.command.impl,ShutdownCommand,4,0,0,0,2,0,2,0,2,0
redis-proxy-core,com.rains.proxy.core.bean,RedisServerMasterCluster,147,99,18,6,42,21,27,5,16,4
redis-proxy-core,com.rains.proxy.core.protocol.request.decoder,RedisInLineRequestDecoder,0,229,7,15,0,51,7,6,0,2
redis-proxy-core,com.rains.proxy.core.protocol.request.decoder,RedisNewRequestDecoder,17,64,4,4,1,18,3,3,0,2
redis-proxy-core,com.rains.proxy.core.protocol.request.decoder,RedisRequestDecoderFactory,3,15,0,2,1,3,1,3,1,2
redis-proxy-core,com.rains.proxy.core.command.execute,KeyCmdExecute,76,0,10,0,12,0,7,0,2,0
redis-proxy-core,com.rains.proxy.core.command.execute,ConnectionCmdExecute,10,161,8,22,2,20,8,14,0,3
redis-proxy-core,com.rains.proxy.core.command.execute,ThrooughCmdExecute,214,0,14,0,46,0,14,0,7,0
redis-proxy-core,com.rains.proxy.core.command.execute,ServerCmdExecute,90,0,14,0,14,0,11,0,3,0
redis-proxy-core,com.rains.proxy.core.cluster.impl,RoundRobinLoadBalance,0,14,0,0,0,5,0,2,0,2
redis-proxy-core,com.rains.proxy.core.cluster.impl,ConsistentHashLoadBalance,0,23,0,0,0,6,0,2,0,2
redis-proxy-core,com.rains.proxy.core.cluster.impl,AbstractLoadBalance,21,56,9,7,5,17,7,6,0,5
redis-proxy-core,com.rains.proxy.core.pool.util,PoolUtils,22,0,0,0,3,0,3,0,3,0
redis-proxy-core,com.rains.proxy.core.reply.impl,StatusRedisReply,0,19,0,0,0,8,0,3,0,3
redis-proxy-core,com.rains.proxy.core.reply.impl,EmptyRedisReply,9,0,0,0,3,0,2,0,2,0
redis-proxy-core,com.rains.proxy.core.reply.impl,BulkRedisReply,0,42,1,3,0,14,1,5,0,4
