GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
samples/runtime,org.corfudb.security.tls,ReloadableTrustManager,152,0,4,0,39,0,9,0,7,0
samples/runtime,org.corfudb.security.tls,TlsUtils,191,0,6,0,37,0,7,0,4,0
samples/runtime,org.corfudb.security.tls,SslContextConstructor,148,0,6,0,32,0,7,0,4,0
samples/runtime,org.corfudb.security.tls,ReloadableTrustManagerFactory,20,0,0,0,6,0,4,0,4,0
samples/runtime,org.corfudb.security.sasl,SaslUtils,102,0,4,0,26,0,4,0,2,0
samples/runtime,org.corfudb.runtime.view.stream,StreamSpliterator,40,0,2,0,13,0,6,0,5,0
samples/runtime,org.corfudb.runtime.view.stream,IStreamView.SearchDirection,78,0,0,0,7,0,6,0,6,0
samples/runtime,org.corfudb.runtime.view.stream,BackpointerStreamView,793,0,94,0,177,0,64,0,17,0
samples/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView,481,0,64,0,102,0,45,0,13,0
samples/runtime,org.corfudb.runtime.view.stream,BackpointerStreamView.BackpointerOp,48,0,0,0,4,0,4,0,4,0
samples/runtime,org.corfudb.runtime.view.stream,AbstractStreamContext,28,0,0,0,10,0,4,0,4,0
samples/runtime,org.corfudb.runtime.view.stream,IStreamView,36,0,0,0,7,0,7,0,7,0
samples/runtime,org.corfudb.runtime.view.stream,AbstractContextStreamView,363,0,40,0,84,0,37,0,17,0
samples/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView.QueuedStreamContext,220,0,4,0,40,0,6,0,4,0
samples/runtime,org.corfudb.runtime.object,CorfuCompileWrapperBuilder,78,0,8,0,21,0,6,0,2,0
samples/runtime,org.corfudb.runtime.object,StreamViewSMRAdapter,227,0,32,0,51,0,33,0,17,0
samples/runtime,org.corfudb.runtime.object,AbstractCorfuWrapper,15,0,0,0,5,0,4,0,4,0
samples/runtime,org.corfudb.runtime.object,CorfuCompileProxy,958,0,76,0,169,0,65,0,27,0
samples/runtime,org.corfudb.runtime.object,VersionLockedObject.NullValue,28,0,0,0,2,0,4,0,4,0
samples/runtime,org.corfudb.runtime.object,VersionLockedObject,855,0,80,0,188,0,67,0,27,0
samples/runtime,org.corfudb.runtime.object,ISMRStream,6,0,0,0,1,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,ServerNotReadyException,3,0,0,0,2,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,ValueAdoptedException,9,0,0,0,2,0,2,0,2,0
samples/runtime,org.corfudb.runtime.exceptions,StaleTokenException,19,0,0,0,4,0,2,0,2,0
samples/runtime,org.corfudb.runtime.exceptions,ObjectExistsException,11,0,0,0,2,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,AbortCause,108,0,0,0,10,0,4,0,4,0
samples/runtime,org.corfudb.runtime.exceptions,TrimmedUpcallException,13,0,0,0,2,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,RecoveryException,4,0,0,0,2,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,DataOutrankedException,3,0,0,0,1,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,UnprocessedException,3,0,0,0,1,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,ShutdownException,7,0,0,0,4,0,2,0,2,0
samples/runtime,org.corfudb.runtime.exceptions,LogUnitException,7,0,0,0,4,0,2,0,2,0
samples/runtime,org.corfudb.runtime.exceptions,AlreadyBootstrappedException,4,0,0,0,2,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,DataCorruptionException,3,0,0,0,1,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,TransactionAbortedException,89,0,2,0,21,0,9,0,8,0
samples/runtime,org.corfudb.runtime.exceptions,WriteSizeException,17,0,0,0,2,0,1,0,1,0
samples/runtime,org.corfudb.runtime.exceptions,WorkflowResultUnknownException,3,0,0,0,1,0,1,0,1,0
