GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.metrics,StatsdMetricsReporter,238,0,16,0,63,0,19,0,11,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.metrics,MongoDbMetricRegistryFactory,20,0,0,0,7,0,2,0,2,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.metrics,StatsdMetricsStarter,49,0,2,0,13,0,4,0,3,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base,MainMethodExceptionHandler,0,42,0,0,0,12,0,4,0,4
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base,DittoService,287,0,2,0,76,0,27,0,26,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base,DittoService.RootActorInformation,23,0,0,0,7,0,2,0,2,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,HttpConfigReader,22,0,0,0,4,0,3,0,3,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,AbstractServiceConfigReader,17,49,0,2,3,8,3,6,3,5
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,AbstractConfigReader,5,38,0,2,1,9,1,5,1,4
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,ServiceConfigReader,4,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,DittoServiceConfigReader,0,14,0,0,0,3,0,3,0,3
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,HealthConfigReader,91,0,0,0,10,0,6,0,6,0
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,StatsdConfigReader,0,24,0,0,0,4,0,3,0,3
Eclipse Ditto :: Services :: Base,org.eclipse.ditto.services.base.config,ClusterConfigReader,15,75,0,0,1,8,1,5,1,5
