GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,EntityRegionMap.Builder,0,28,0,0,0,7,0,3,0,3
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,PolicyEnforcerCacheLoader,89,0,4,0,19,0,8,0,6,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,IdentityCache,22,0,0,0,6,0,6,0,6,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,AclEnforcerCacheLoader,97,0,6,0,22,0,8,0,5,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,ActorAskCacheLoader,180,0,4,0,38,0,12,0,10,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,ThingCommandFactory,32,0,0,0,8,0,2,0,2,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,CacheFactory,56,0,0,0,15,0,4,0,4,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,EntityRegionMap,30,65,0,6,4,16,3,10,3,7
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache,ThingEnforcementIdCacheLoader,110,0,6,0,23,0,8,0,5,0
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache.update,ThingCacheUpdateActor,0,127,0,28,0,21,0,24,0,10
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache.update,AbstractPubSubListenerActor,11,67,0,0,3,15,1,5,1,5
Eclipse Ditto :: Services :: Concierge :: Cache,org.eclipse.ditto.services.concierge.cache.update,PolicyCacheUpdateActor,0,51,0,0,0,11,0,5,0,5
