GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,LiveSignalEnforcement,93,352,13,23,20,97,12,19,1,12
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,EnforcerRetriever,34,120,4,6,4,35,4,11,0,10
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,ThingCommandEnforcement,452,1447,61,119,114,352,54,120,6,78
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,AbstractEnforcement.Context,7,53,0,0,2,14,0,4,0,4
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,AbstractEnforcement,95,107,9,5,23,26,11,15,5,14
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,ThingCommandEnforcement.Provider,0,73,0,2,0,15,0,7,0,6
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,PolicyCommandEnforcement.Provider,0,25,0,0,0,6,0,3,0,3
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,LiveSignalEnforcement.Provider,0,35,0,0,0,8,0,4,0,4
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,EnforcementProvider,0,13,0,0,0,3,0,2,0,2
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,AuthorizedSubjectsEnforcer,26,19,2,0,6,6,5,3,4,3
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,EnforcerActorCreator,6,56,0,2,2,11,1,5,1,4
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,PreEnforcer,19,172,0,8,4,45,2,17,2,13
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,PolicyOrAclEnforcerRetrieverFactory,6,29,0,0,2,7,1,1,1,1
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,ThingCommandEnforcement.CreateThingWithEnforcer,0,9,0,0,0,4,0,1,0,1
Eclipse Ditto :: Services :: Concierge :: Enforcement,org.eclipse.ditto.services.concierge.enforcement,PolicyCommandEnforcement,71,295,10,20,18,87,8,25,1,17
