GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.streaming,StreamingType,87,0,0,0,14,0,6,0,6,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.cache,Entry,14,0,0,0,3,0,3,0,3,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.cache,NonexistentEntry,15,0,0,0,5,0,5,0,5,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.cache,ExistentEntry,82,0,8,0,16,0,11,0,7,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge,ConciergeModelFactory,13,0,0,0,4,0,3,0,3,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge,EntityId,7,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge,ImmutableEntityId,32,115,2,8,5,20,2,11,0,8
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge,ConciergeWrapper,41,0,2,0,11,0,4,0,3,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.actors,ConciergeForwarderActor,120,0,2,0,29,0,10,0,9,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.actors,ConciergeForwarderActor.new Creator() {...},23,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.batch,BatchMappingStrategy,31,0,0,0,9,0,2,0,2,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.batch,BatchStepCommandRegistry,62,0,2,0,10,0,6,0,5,0
Eclipse Ditto :: Services :: Models :: Concierge,org.eclipse.ditto.services.models.concierge.batch,BatchStepCommandResponseRegistry,60,0,2,0,10,0,5,0,4,0
