GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,PolicyReferenceTag,37,116,0,10,2,25,2,13,2,8
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,PoliciesAclMigrations,182,0,10,0,28,0,10,0,5,0
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,PoliciesValidator,2,137,1,11,0,36,1,14,0,9
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,PolicyTag,0,20,0,0,0,6,0,4,0,4
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,Permission,6,15,0,0,2,2,1,1,1,1
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,PoliciesMappingStrategy,61,0,0,0,23,0,7,0,7,0
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies,PolicyReferenceTag.JsonFields,6,16,0,0,2,3,1,1,1,1
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoCommand,6,0,0,0,3,0,3,0,3,0
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoCommandResponse.JsonFields,6,14,0,0,2,2,1,1,1,1
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoCommand.JsonFields,6,31,0,0,2,4,1,1,1,1
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoRetrievePolicy,28,101,1,11,3,20,4,14,3,9
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoRetrievePolicyResponse,45,178,1,13,6,31,6,18,5,12
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoCommandResponse,4,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoCommandResponseRegistry,0,18,0,0,0,5,0,2,0,2
Eclipse Ditto :: Services :: Models :: Policies,org.eclipse.ditto.services.models.policies.commands.sudo,SudoCommandRegistry,20,0,0,0,6,0,3,0,3,0
