GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,SudoCountThings,23,129,0,6,3,24,3,15,3,12
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,SudoRetrieveNamespaceReport,39,42,0,6,6,11,6,9,6,6
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,SudoRetrieveNamespaceReportResponse,155,0,12,0,30,0,20,0,14,0
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,ThingSearchSudoCommand,8,0,0,0,4,0,4,0,4,0
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,ThingSearchSudoCommandResponseRegistry,23,0,0,0,6,0,2,0,2,0
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,ThingSearchSudoCommandRegistry,38,0,0,0,10,0,4,0,4,0
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch.commands.sudo,ThingSearchSudoCommandResponse,6,0,0,0,3,0,3,0,3,0
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch,SearchNamespaceResultEntry,70,123,5,5,13,24,11,7,6,7
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch,ThingSearchMappingStrategy,73,0,0,0,22,0,4,0,4,0
Eclipse Ditto :: Services :: Models :: Things Search,org.eclipse.ditto.services.models.thingsearch,SearchNamespaceReportResult,68,128,3,3,14,27,9,8,6,8
