GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence,SafeRecovery,21,0,2,0,7,0,3,0,2,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,KeyNameReviser,0,51,0,0,0,9,0,7,0,7
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,MongoClientActor.new Creator() {...},18,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,AbstractMongoClientActor,54,0,2,0,15,0,4,0,3,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,MongoClientWrapper,23,135,4,4,6,37,5,7,1,7
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,DefaultPersistenceStreamingActor,24,21,0,0,4,8,2,3,2,3
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,AbstractPersistenceStreamingActor,0,92,0,0,0,20,0,8,0,8
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,BsonUtil,166,0,16,0,45,0,19,0,11,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,AbstractBasicDBMapper,54,75,10,6,13,20,9,7,2,6
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,JsonValueToDbEntityMapper,2,173,1,15,1,40,1,18,0,11
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,ComparableCache,0,89,0,4,0,21,0,8,0,6
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,MongoClientActor,112,0,4,0,29,0,10,0,8,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,BasicDBListToJsonObjectMapper,8,9,0,0,2,3,1,2,1,2
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,AbstractMongoSnapshotAdapter,120,0,2,0,30,0,12,0,11,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,AbstractMongoEventAdapter,144,0,8,0,33,0,12,0,8,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,DittoBsonJson,39,50,4,0,8,16,5,6,3,6
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo,BasicDBObjectToJsonObjectMapper,0,17,0,0,0,4,0,3,0,3
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.monitoring,KamonConnectionPoolListener.PoolMetric,201,0,0,0,27,0,8,0,8,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.monitoring,KamonCommandListener,190,0,6,0,36,0,8,0,5,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.monitoring,KamonConnectionPoolListener,127,0,6,0,28,0,19,0,16,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.streaming,MongoReadJournal,173,100,2,2,26,12,8,3,7,2
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.streaming,PidWithSeqNr,69,15,10,0,8,6,8,3,3,3
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.streaming,MongoSearchSyncPersistence,188,0,6,0,54,0,14,0,11,0
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.indices,IndexInitializer,224,4,8,0,55,1,24,1,20,1
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.indices,IndexFactory,6,54,0,2,2,12,1,5,1,4
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.indices,Index,123,111,0,16,19,17,8,12,8,4
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.indices,IndexDirection,0,42,0,0,0,7,0,3,0,3
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.indices,IndexOperations,113,4,4,0,26,1,16,1,14,1
Eclipse Ditto :: Services :: Utils :: Persistence Utils,org.eclipse.ditto.services.utils.persistence.mongo.indices,DefaultIndexKey,23,78,0,10,1,15,1,12,1,7
