GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,BatchCommandResponse,5,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,ExecuteBatchResponse,26,103,0,8,4,23,4,12,4,8
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,ExecuteBatch,32,235,0,12,4,48,4,19,4,13
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,BatchCommandRegistry,29,0,0,0,8,0,4,0,4,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,BatchCommand.JsonFields,3,14,0,0,1,2,1,1,1,1
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,BatchCommandResponse.JsonFields,3,14,0,0,1,2,1,1,1,1
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,BatchCommandResponseRegistry,18,0,0,0,5,0,2,0,2,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch,BatchCommand,7,0,0,0,3,0,3,0,3,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch.exceptions,BatchAlreadyExecutingException,39,0,0,0,9,0,5,0,5,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch.exceptions,BatchErrorRegistry,42,0,0,0,9,0,4,0,4,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch.exceptions,BatchNotExecutableException.JsonFields,27,0,0,0,4,0,1,0,1,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch.exceptions,BatchNotExecutableException.Builder,64,0,0,0,14,0,4,0,4,0
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch.exceptions,BatchNotExecutableException,89,59,0,12,24,9,8,8,8,2
Eclipse Ditto :: Signals :: Commands :: Batch,org.eclipse.ditto.signals.commands.batch.exceptions,BatchAlreadyExecutingException.Builder,31,0,0,0,7,0,3,0,3,0
