GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,ChangeLogLevelResponse,138,58,13,1,19,10,16,4,9,4
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsCommandResponse.JsonFields,3,35,0,0,1,4,1,1,1,1
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsCommand.JsonFields,38,0,0,0,5,0,2,0,2,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,RetrieveStatisticsResponse,209,0,12,0,35,0,21,0,15,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsCommandRegistry,38,0,0,0,9,0,3,0,3,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,AbstractDevOpsCommandResponse,25,98,3,11,3,17,5,10,2,6
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,ExecutePiggybackCommand,267,0,14,0,37,0,24,0,17,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsCommandResponse,6,0,0,0,3,0,3,0,3,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,RetrieveLoggerConfigResponse,244,0,12,0,46,0,21,0,15,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,AggregatedDevOpsCommandResponse,59,250,5,17,9,39,11,20,6,14
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,AbstractDevOpsCommand,122,0,14,0,20,0,15,0,8,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsErrorResponse,226,0,16,0,40,0,23,0,15,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,ChangeLogLevel,213,0,12,0,31,0,22,0,16,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,RetrieveLoggerConfig,360,0,24,0,55,0,35,0,23,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsCommand,8,0,0,0,4,0,4,0,4,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,RetrieveStatistics,96,0,0,0,17,0,10,0,10,0
Eclipse Ditto :: Signals :: Commands :: DevOps,org.eclipse.ditto.signals.commands.devops,DevOpsCommandResponseRegistry,0,44,0,0,0,10,0,4,0,4
