GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturePropertyLiveCommandAnswerBuilderImpl,0,18,0,0,0,4,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveThingLiveCommandAnswerBuilderImpl,0,18,0,0,0,4,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturePropertiesLiveCommandAnswerBuilderImpl,0,18,0,0,0,4,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturesLiveCommandAnswerBuilderImpl,0,18,0,0,0,4,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeatureLiveCommandAnswerBuilderImpl.ResponseFactoryImpl,0,45,0,0,0,6,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveThingsLiveCommandAnswerBuilderImpl.ResponseFactoryImpl,2,54,0,0,0,9,1,4,1,4
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,QueryLiveCommandFactory,9,24,0,0,3,8,2,8,2,8
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeatureDefinitionLiveCommandAnswerBuilderImpl,0,18,0,0,0,4,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturePropertyLiveCommandAnswerBuilderImpl.ResponseFactoryImpl,0,60,0,0,0,9,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,AbstractQueryLiveCommand,2,15,0,0,1,5,1,3,1,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturesLiveCommandImpl,0,40,0,0,0,6,0,5,0,5
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveAttributesLiveCommandImpl,0,40,0,0,0,6,0,5,0,5
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturePropertiesLiveCommandAnswerBuilderImpl.ResponseFactoryImpl,0,50,0,0,0,8,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeaturesLiveCommandAnswerBuilderImpl.ResponseFactoryImpl,0,40,0,0,0,5,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Live,org.eclipse.ditto.signals.commands.live.query,RetrieveFeatureLiveCommandAnswerBuilderImpl,0,18,0,0,0,4,0,3,0,3
