GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,ThingNotCreatableException,12,46,1,1,2,9,2,4,1,4
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,FeaturePropertiesNotAccessibleException.Builder,0,35,0,0,0,7,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,ThingConflictException,0,32,0,0,0,8,0,4,0,4
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,PolicyIdNotModifiableException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,FeaturePropertiesNotAccessibleException,0,33,0,0,0,8,0,4,0,4
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,ThingConflictException.Builder,0,31,0,0,0,7,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,AclNotAccessibleException,33,0,0,0,8,0,4,0,4,0
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,FeatureDefinitionNotModifiableException.Builder,0,35,0,0,0,7,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,FeaturesNotAccessibleException,0,32,0,0,0,8,0,4,0,4
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,AttributesNotModifiableException,0,32,0,0,0,8,0,4,0,4
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,AttributeNotAccessibleException.Builder,0,35,0,0,0,7,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,FeatureNotModifiableException.Builder,0,35,0,0,0,7,0,3,0,3
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,MissingThingIdsException.Builder,0,21,0,0,0,5,0,2,0,2
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,PolicyIdNotModifiableException,0,32,0,0,0,8,0,4,0,4
Eclipse Ditto :: Signals :: Commands :: Things,org.eclipse.ditto.signals.commands.things.exceptions,FeaturesNotModifiableException.Builder,0,31,0,0,0,7,0,3,0,3
