GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AclEntryCreated,77,144,1,11,7,27,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturePropertyModified,98,237,1,15,8,42,7,20,6,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,ThingEvent,5,0,0,0,2,0,2,0,2,0
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeatureDefinitionCreated,78,187,1,13,6,34,6,19,5,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturesCreated,63,159,2,14,5,27,7,18,5,12
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AclModified,65,144,1,11,6,28,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturePropertiesDeleted,71,124,1,11,6,25,6,15,5,10
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AclEntryModified,77,144,1,11,7,27,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AttributesCreated,66,145,1,11,6,28,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeatureModified,63,178,1,11,5,30,6,18,5,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturesModified,66,148,1,11,6,24,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,ThingDeleted,48,47,0,0,5,9,5,7,5,7
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,ThingCreated,54,130,1,11,5,25,6,16,5,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AttributesDeleted,43,49,0,0,4,9,4,7,4,7
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AttributesModified,66,145,1,11,6,29,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturePropertiesCreated,83,195,2,14,7,36,7,19,5,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturePropertyCreated,98,235,1,15,8,42,7,20,6,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,PolicyIdModified,69,135,1,11,7,26,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeatureDeleted,69,124,1,11,6,24,6,15,5,10
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeatureDefinitionDeleted,71,124,1,11,6,22,6,15,5,10
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AclEntryDeleted,70,142,1,11,6,28,6,16,5,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,ThingEventRegistry,27,172,0,0,2,36,4,3,4,3
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,PolicyIdCreated,69,135,1,11,7,26,7,16,6,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,ThingModified,60,128,1,11,6,24,7,15,6,10
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AttributeDeleted,69,146,1,11,6,27,6,16,5,11
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,ThingEvent.JsonFields,6,52,0,0,2,6,1,1,1,1
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturePropertyDeleted,84,181,1,13,6,34,6,18,5,12
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturesDeleted,49,44,0,0,5,8,5,6,5,6
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AttributeCreated,83,214,1,15,8,37,7,19,6,12
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeatureDefinitionModified,71,193,1,13,6,34,6,19,5,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AttributeModified,83,214,1,15,8,37,7,19,6,12
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeatureCreated,63,185,1,13,5,31,6,19,5,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,FeaturePropertiesModified,74,196,2,14,6,35,7,19,5,13
Eclipse Ditto :: Signals :: Events :: Things,org.eclipse.ditto.signals.events.things,AbstractThingEvent,39,164,1,17,4,31,5,16,4,8
