2018-04-16 09:16:31 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2018-04-16 09:16:31 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-04-16 09:16:31 [main] INFO  c.n.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@446626a7
2018-04-16 09:16:34 [main] WARN  c.g.m.s.providers.SousTitresEU - Couldn't find show thisshowdoesnotexist
2018-04-16 09:16:36 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated The.Leftovers.S03E01.HDTV.x264-KILLERS.srt - score = 20
2018-04-16 09:16:36 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated The.Leftovers.S03E01.iNTERNAL.HDTV.x264-TURBO.srt - score = 6
2018-04-16 09:16:36 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated The.Leftovers.S03E01.The.Book.Of.Kevin.1080p.AMZN.WEBRip.DD5.1.x264-NTb.srt - score = 1
2018-04-16 09:16:37 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated The.Leftovers.S03E01.720p.BluRay.x264-SiNNERS.Fr.srt - score = 1
2018-04-16 09:16:39 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated The.Leftovers.S03E01.NTSC.DVDR-ToF.Fr.srt - score = 1
2018-04-16 09:16:40 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated Game.of.Thrones.201.hdtv.asap.720p.imm.euchd.ebp.VF.NoTAG.srt - score = 6
2018-04-16 09:16:40 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - SousTitresEU - Evaluated Game.of.Thrones.201.hdtv.asap.720p.imm.euchd.ebp.VF.TAG.ass - score = 6
